Time;Input voltage [V];Input current [A];Motor revolutions [x100rpm];Controller temperature [°C];BEC voltage [V];BEC current [A];BEC temperature [°C];Input request [%];Incoming power [W];Cruising speed (car) [km/h];Motor temperature [°C];Battery temperature [°C];Output power [%];Automatic regulation;I*T fuse;Low voltage;High current;ESC overheated;Motor overheated;Battery overheated;HW current fuse;HW overvoltage/undervoltage;Pulse current [A];Capacity [%];Motor run time [s];Lowest cell [V];Highest cell [V];Lower cell index;Highest voltage cell index;
15:40:39.392;16.94;0.5;0;24;5.16;0;33;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:39.698;16.923;0.6;0;24;5.151;0;33;0;10;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:40.002;16.888;0.3;0;25;5.151;0.004;33;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:40.305;16.923;0;0;25;5.162;0;33;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:40.594;16.923;0;0;25;5.146;0;33;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:40.897;16.975;0;0;25;5.151;0;33;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:41.202;16.888;1;0;25;5.155;0;33;0;10;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:41.507;16.87;0;0;25;5.144;0;33;0;0;0;24;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:41.795;16.975;0;0;24;5.146;0;33;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:42.099;16.905;0.3;0;25;5.146;0;33;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:42.402;16.923;0;0;25;5.149;0;33;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:42.707;16.888;0.8;0;24;5.153;0;33;0;10;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:42.995;16.957;0.3;0;24;5.14;0;33;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
15:40:43.298;16.835;0;0;25;5.146;0;33;0;0;0;25;0;-27.451;0;0;0;0;0;0;0;0;0;0;100;15;0;0;0;0;
