Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
0.1,,1200
0.2,,1200
0.3,,1200
0.4,,1200
0.5,,1200
0.6,,1200
0.7,,1200
0.8,,1200
0.9,,1200
1,,1200
1.1,,1200
1.2,,1200
1.3,,1200
1.4,,1200
1.5,,1200
1.6,,1500
1.7,,1500
1.8,,1500
1.9,,1500
2,,1500
2.1,,1500
2.2,,1500
2.3,,1500
2.4,,1500
2.5,,1500
2.6,,1500
2.7,,1500
2.8,,1500
2.9,,1500
3,,1500
3.1,,1500
3.2,,1500
3.3,,1500
3.4,,1500
3.5,,1500
3.6,,1500
3.7,,1500
3.8,,1500
3.9,,1500
4,,1500
4.1,,1500
4.2,,1500
4.3,,1500
4.4,,1500
4.5,,1500
4.6,,1500
4.7,,1500
4.8,,1500
4.9,,1500
5,,1500
5.1,,1500
5.2,,1500
5.3,,1500
5.4,,1500
5.5,,1500
5.6,,1500
5.7,,1500
5.8,,1500
5.9,,1500
6,,1500
6.1,,1500
6.2,,1500
6.3,,1500
6.4,,1500
6.5,,1500
6.6,,1500
6.7,,1500
6.8,,1500
6.9,,1500
7,,1500
7.1,,1500
7.2,,1500
7.3,,1500
7.4,,1500
7.5,,1500
7.6,,1500
7.7,,1500
7.8,,1500
7.9,,1500
8,,1500
8.1,,1500
8.2,,1452.942
8.3,,1458.825
8.4,,1473.528
8.5,,1485.294
8.6,,1488.234
8.7,,1491.1770000000001
8.8,,1497.06
8.9,,1500
9,,1500
9.1,,1500
9.2,,1500
9.3,,1500
9.4,,1500
9.5,,1497.06
9.6,,1497.06
9.7,,1497.06
9.8,,1497.06
9.9,,1497.06
10,,1497.06
10.1,,1497.06
10.2,,1494.117
10.3,,1494.117
10.4,,1494.117
10.5,,1491.1770000000001
10.6,,1488.234
10.7,,1485.294
10.8,,1479.411
10.9,,1476.471
11,,1473.528
11.1,,1470.588
11.2,,1470.588
11.3,,1470.588
11.4,,1467.648
11.5,,1464.705
11.6,,1464.705
11.7,,1458.825
11.8,,1458.825
11.9,,1458.825
12,,1458.825
12.1,,1458.825
12.2,,1458.825
12.3,,1452.942
12.4,,1449.999
12.5,,1444.1190000000001
12.6,,1441.176
12.7,,1438.236
12.8,,1432.353
12.9,,1429.413
13,,1423.53
13.1,,1420.587
13.2,,1417.647
13.3,,1414.7069999999999
13.4,,1414.7069999999999
13.5,,1411.764
13.6,,1405.8809999999999
13.7,,1402.941
13.8,,1400.001
13.9,,1397.058
14,,1394.118
14.1,,1394.118
14.2,,1394.118
14.3,,1388.2350000000001
14.4,,1376.472
14.5,,1376.472
14.6,,1376.472
14.7,,1376.472
14.8,,1376.472
14.9,,1373.529
15,,1370.589
15.1,,1367.646
15.2,,1367.646
15.3,,1367.646
15.4,,1364.706
15.5,,1364.706
15.6,,1361.766
15.7,,1361.766
15.8,,1361.766
15.9,,1361.766
16,,1361.766
16.1,,1361.766
16.2,,1361.766
16.3,,1361.766
16.4,,1361.766
16.5,,1361.766
16.6,,1361.766
16.7,,1361.766
16.8,,1361.766
16.9,,1361.766
17,,1361.766
17.1,,1364.706
17.2,,1364.706
17.3,,1364.706
17.4,,1367.646
17.5,,1367.646
17.6,,1370.589
17.7,,1370.589
17.8,,1370.589
17.9,,1373.529
18,,1373.529
18.1,,1373.529
18.2,,1376.472
18.3,,1376.472
18.4,,1376.472
18.5,,1379.412
18.6,,1379.412
18.7,,1382.352
18.8,,1385.295
18.9,,1388.2350000000001
19,,1391.175
19.1,,1394.118
19.2,,1397.058
19.3,,1397.058
19.4,,1397.058
19.5,,1397.058
19.6,,1394.118
19.7,,1394.118
19.8,,1397.058
19.9,,1397.058
20,,1397.058
20.1,,1397.058
20.2,,1397.058
20.3,,1397.058
20.4,,1397.058
20.5,,1400.001
20.6,,1402.941
20.7,,1405.8809999999999
20.8,,1405.8809999999999
20.9,,1405.8809999999999
21,,1405.8809999999999
21.1,,1408.824
21.2,,1411.764
21.3,,1414.7069999999999
21.4,,1414.7069999999999
21.5,,1414.7069999999999
21.6,,1414.7069999999999
21.7,,1414.7069999999999
21.8,,1414.7069999999999
21.9,,1414.7069999999999
22,,1414.7069999999999
