Time (s),Take sample,Powertrain 1 ESC throttle - target (μs)
0.0, ,1400.0
1.0, ,1400.0
2.0, ,1400.0
3.0, ,1400.0
4.0, ,1400.0
5.0, ,1400.0
6.0, ,1400.0
7.0, ,1400.0
8.0, ,1400.0
9.0, ,1400.0
10.0, ,1398.04
11.0, ,1382.352
12.0, ,1372.55
13.0, ,1349.02
14.0, ,1329.412
15.0, ,1313.726
16.0, ,1307.844
17.0, ,1307.844
18.0, ,1315.686
19.0, ,1327.45
20.0, ,1331.372
21.0, ,1337.254
22.0, ,1343.138
23.0, ,1339.216
24.0, ,1345.098
25.0, ,1350.98
26.0, ,1350.98
27.0, ,1343.138
28.0, ,1315.686
29.0, ,1311.764
30.0, ,1303.922
31.0, ,1303.922
32.0, ,1301.96
33.0, ,1300.0
34.0, ,1317.648
35.0, ,1325.49
36.0, ,1327.45
37.0, ,1333.334
38.0, ,1339.216
39.0, ,1354.902
40.0, ,1354.902
41.0, ,1350.98
42.0, ,1349.02
43.0, ,1343.138
44.0, ,1331.372
45.0, ,1323.53
46.0, ,1317.648
47.0, ,1315.686
48.0, ,1309.804
49.0, ,1303.922
50.0, ,1300.0
51.0, ,1292.156
52.0, ,1278.432
53.0, ,1278.432
54.0, ,1282.352
55.0, ,1282.352
56.0, ,1288.236
57.0, ,1298.04
58.0, ,1303.922
59.0, ,1305.882
60.0, ,1303.922
61.0, ,1309.804
62.0, ,1321.568
63.0, ,1335.294
64.0, ,1337.254
65.0, ,1343.138
66.0, ,1343.138
67.0, ,1343.138
68.0, ,1339.216
69.0, ,1333.334
70.0, ,1331.372
71.0, ,1327.45
72.0, ,1327.45
73.0, ,1327.45
74.0, ,1331.372
75.0, ,1335.294
76.0, ,1331.372
77.0, ,1335.294
78.0, ,1333.334
79.0, ,1327.45
80.0, ,1315.686
81.0, ,1313.726
82.0, ,1307.844
83.0, ,1315.686
84.0, ,1315.686
85.0, ,1323.53
86.0, ,1321.568
87.0, ,1319.608
88.0, ,1309.804
89.0, ,1303.922
90.0, ,1298.04
91.0, ,1298.04
92.0, ,1301.96
93.0, ,1315.686
94.0, ,1319.608
95.0, ,1321.568
96.0, ,1311.764
97.0, ,1305.882
98.0, ,1301.96
99.0, ,1290.196
100.0, ,1274.51
101.0, ,1258.824
102.0, ,1245.098
103.0, ,1229.412
104.0, ,1213.726
105.0, ,1203.922
106.0, ,1200.0
107.0, ,1200.0
108.0, ,1200.0
109.0, ,1200.0
110.0, ,1200.0
111.0, ,1209.804
112.0, ,1250.98
113.0, ,1282.352
114.0, ,1315.686
115.0, ,1337.254
116.0, ,1341.176
117.0, ,1339.216
118.0, ,1331.372
119.0, ,1325.49
120.0, ,1313.726
121.0, ,1305.882
122.0, ,1364.706
123.0, ,1313.726
124.0, ,1305.882
125.0, ,1296.078
126.0, ,1288.236
127.0, ,1296.078
128.0, ,1298.04
129.0, ,1296.078
130.0, ,1301.96
131.0, ,1309.804
132.0, ,1313.726
133.0, ,1309.804
134.0, ,1321.568
135.0, ,1292.156
136.0, ,1317.648
137.0, ,1325.49
138.0, ,1305.882
139.0, ,1301.96
140.0, ,1298.04
141.0, ,1307.844
142.0, ,1307.844
143.0, ,1303.922
144.0, ,1313.726
145.0, ,1290.196
146.0, ,1317.648
147.0, ,1317.648
148.0, ,1323.53
149.0, ,1329.412
150.0, ,1309.804
151.0, ,1301.96
152.0, ,1301.96
153.0, ,1309.804
154.0, ,1292.156
155.0, ,1313.726
156.0, ,1337.254
157.0, ,1356.862
158.0, ,1356.862
159.0, ,1356.862
160.0, ,1368.628
161.0, ,1368.628
162.0, ,1382.352
163.0, ,1325.49
164.0, ,1303.922
165.0, ,1307.844
166.0, ,1311.764
167.0, ,1276.47
168.0, ,1237.254
169.0, ,1200.0
170.0, ,1200.0
171.0, ,1200.0
172.0, ,1200.0
173.0, ,1200.0
174.0, ,1233.334
175.0, ,1274.51
176.0, ,1296.078
177.0, ,1301.96
178.0, ,1286.274
179.0, ,1303.922
180.0, ,1319.608
181.0, ,1331.372
182.0, ,1333.334
183.0, ,1333.334
184.0, ,1339.216
185.0, ,1327.45
186.0, ,1356.862
187.0, ,1400.0
188.0, ,1400.0
189.0, ,1396.078
190.0, ,1392.156
191.0, ,1400.0
192.0, ,1400.0
193.0, ,1400.0
194.0, ,1376.47
