Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,0,0.013144132681190968,0.002004374982789159,16.974702835083008,-0.012251405045390129,0,-0.2079639583826065,0,0,0,-0.06320389360189438
0.1,0,0.013666550628840923,0.002042056294158101,16.9747314453125,-0.01601216197013855,0,-0.27180215716362,0,0,0,-0.05028124526143074
0.2,0,0.01389858778566122,0.002013349672779441,16.9747314453125,-0.007282989099621773,0,-0.12362678349018097,0,0,0,-0.11242376267910004
0.3,0,0.01395898126065731,0.0020081058610230684,16.9747257232666,0.008395276963710785,0,0.14250752329826355,0,0,0,0.09795258939266205
0.4,0,0.013043154962360859,0.00204500462859869,16.9747314453125,-0.0010989313013851643,0,-0.01865406334400177,0,0,0,-0.6992125511169434
0.5,0,0.013186430558562279,0.0019940414931625128,16.974733352661133,0.000508003169670701,0,0.008623218163847923,0,0,0,1.5291774272918701
0.6,0,0.01296495646238327,0.002026631496846676,16.974720001220703,0.0025660358369350433,0,0.04355774074792862,0,0,0,0.29764989018440247
0.7,0,0.013465826399624348,0.001992562785744667,16.97473907470703,0.0005387951387092471,0,0.009145907126367092,0,0,0,1.4723336696624756
0.8,0,0.013256106525659561,0.0019830192904919386,16.9747371673584,-0.014030741527676582,0,-0.2381681501865387,0,0,0,-0.05565860494971275
0.9,0,0.01343446597456932,0.001984523143619299,16.974733352661133,-0.014071022160351276,0,-0.23885184526443481,0,0,0,-0.05624601989984512
1,0,0.01264926791191101,0.0019961947109550238,16.974733352661133,-0.021261757239699364,0,-0.36091265082359314,0,0,0,-0.03504800423979759
1.1,0,0.011855204589664936,0.002003443194553256,16.9747371673584,-0.02355729602277279,0,-0.39987891912460327,0,0,0,-0.029646987095475197
1.2,0,0.011315135285258293,0.002041979692876339,16.97474479675293,-0.02064928226172924,0,-0.35051628947257996,0,0,0,-0.032281339168548584
1.3,0,0.01124823559075594,0.0020648641511797905,16.9747314453125,-0.02816273644566536,0,-0.47805488109588623,0,0,0,-0.02352917194366455
1.4,0,-0.00030329677974805236,0.0031682979315519333,16.916101455688477,4.76699686050415,0,80.63899993896484,0,0,0,-0.000003761167363336426
1.5,0,-0.007075395435094833,0.0037880376912653446,16.93107032775879,7.679142475128174,0,130.01609802246094,0,0,0,-0.0000544193790119607
1.6,0,0.0004929774440824986,0.0030864467844367027,17.007770538330078,4.428166389465332,0,75.31324005126953,0,0,0,0.000006545694304804783
1.7,0,0.005839739926159382,0.0026825950480997562,17.002893447875977,2.3588311672210693,0,40.106956481933594,0,0,0,0.00014560416457243264
1.8,0,0.0071392301470041275,0.0024260510690510273,16.991485595703125,1.2462700605392456,0,21.175979614257812,0,0,0,0.0003371381317265332
1.9,0,0.007782283239066601,0.0023313367273658514,16.983972549438477,0.64718097448349,0,10.991703987121582,0,0,0,0.0007080142968334258
2,0,0.008767123334109783,0.0022769044153392315,16.979692459106445,0.32363399863243103,0,5.495205879211426,0,0,0,0.0015954130794852972
2.1,0,0.009263793006539345,0.002226456766948104,16.977367401123047,0.15890763700008392,0,2.697833299636841,0,0,0,0.0034337900578975677
2.2,0,0.009809788316488266,0.002208962105214596,16.976037979125977,0.08218201994895935,0,1.395125150680542,0,0,0,0.007031475659459829
2.3,0,0.009945027530193329,0.0022461663465946913,16.97534942626953,0.05677090957760811,0,0.9637060165405273,0,0,0,0.010319565422832966
2.4,0,0.009369642473757267,0.0022061211057007313,16.974985122680664,0.03150394186377525,0,0.5347789525985718,0,0,0,0.017520589753985405
2.5,0,0.008560668677091599,0.0022137314081192017,16.974817276000977,0.015278936363756657,0,0.25935715436935425,0,0,0,0.03300726041197777
2.6,0,0.008756912313401699,0.0022546269465237856,16.974729537963867,0.021759070456027985,0,0.36935433745384216,0,0,0,0.023708702996373177
2.7,0,0.009303130209445953,0.0021718847565352917,16.974729537963867,0.02834271267056465,0,0.4811098873615265,0,0,0,0.01933681033551693
2.8,0,0.009312815964221954,0.0021391757763922215,16.974666595458984,0.00965031236410141,0,0.1638108342885971,0,0,0,0.056851036846637726
2.9,0,0.009229128248989582,0.0021719541400671005,16.974605560302734,0.016748961061239243,0,0.28430700302124023,0,0,0,0.03246184065937996
