Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,1000,0.013144132681190968,0.002004375,16.974702835083008,-0.012251405,0,-0.207963958,0,0,0,-0.063203894
0.1,1000,0.013666550628840923,0.002042056,16.97473145,-0.016012162,0,-0.271802157,0,0,0,-0.050281245
0.2,1000,0.013898588,0.00201335,16.97473145,-0.007282989,0,-0.123626783,0,0,0,-0.112423763
0.3,1000,0.013958981,0.002008106,16.97472572,0.008395277,0,0.14250752329826355,0,0,0,0.097952589
0.4,1000,0.013043154962360859,0.002045005,16.97473145,-0.001098931,0,-0.018654063,0,0,0,-0.699212551
0.5,1000,0.013186430558562279,0.001994041,16.974733352661133,0.000508003,0,0.008623218,0,0,0,1.5291774272918701
0.6,1000,0.012964956,0.002026631,16.974720001220703,0.002566036,0,0.043557741,0,0,0,0.29764989018440247
0.7,1000,0.013465826399624348,0.001992563,16.97473907470703,0.000538795,0,0.009145907,0,0,0,1.4723336696624756
0.8,1000,0.013256106525659561,0.001983019,16.97473717,-0.014030742,0,-0.23816815,0,0,0,-0.055658605
0.9,1000,0.013434466,0.001984523,16.974733352661133,-0.014071022,0,-0.238851845,0,0,0,-0.05624602
1,1000,0.012649268,0.001996195,16.974733352661133,-0.021261757,0,-0.360912651,0,0,0,-0.035048004
1.1,1000,0.011855204589664936,0.002003443,16.97473717,-0.023557296,0,-0.399878919,0,0,0,-0.029646987
1.2,1000,0.011315135285258293,0.00204198,16.97474479675293,-0.020649282,0,-0.350516289,0,0,0,-0.032281339
1.3,1000,0.011248236,0.002064864,16.97473145,-0.028162736,0,-0.478054881,0,0,0,-0.023529172
1.4,1000,-0.000303297,0.003168298,16.916101455688477,4.766996861,0,80.63899993896484,0,0,0,-3.76117E-06
1.5,1000,-0.007075395,0.003788038,16.93107032775879,7.679142475128174,0,130.01609802246094,0,0,0,-5.44194E-05
1.6,1000,0.000492977,0.003086447,17.007770538330078,4.428166389465332,0,75.31324005126953,0,0,0,6.54569E-06
1.7,1000,0.00583974,0.002682595,17.002893447875977,2.3588311672210693,0,40.106956481933594,0,0,0,0.000145604
1.8,1000,0.00713923,0.002426051,16.991485595703125,1.2462700605392456,0,21.175979614257812,0,0,0,0.000337138
1.9,1000,0.007782283,0.002331337,16.983972549438477,0.647180974,0,10.991703987121582,0,0,0,0.000708014
2,1000,0.008767123,0.002276904,16.979692459106445,0.32363399863243103,0,5.495205879211426,0,0,0,0.001595413
2.1,1000,0.009263793,0.002226457,16.977367401123047,0.15890763700008392,0,2.697833299636841,0,0,0,0.00343379
2.2,1000,0.009809788,0.002208962,16.976037979125977,0.08218202,0,1.395125150680542,0,0,0,0.007031476
2.3,1000,0.009945028,0.002246166,16.97534942626953,0.05677091,0,0.9637060165405273,0,0,0,0.010319565422832966
2.4,1000,0.009369642,0.002206121,16.974985122680664,0.031503942,0,0.5347789525985718,0,0,0,0.017520589753985405
2.5,1000,0.008560669,0.002213731,16.974817276000977,0.015278936363756657,0,0.25935715436935425,0,0,0,0.03300726
2.6,1000,0.008756912,0.002254627,16.974729537963867,0.021759070456027985,0,0.36935433745384216,0,0,0,0.023708702996373177
2.7,1000,0.00930313,0.002171885,16.974729537963867,0.028342713,0,0.4811098873615265,0,0,0,0.01933681
2.8,1000,0.009312816,0.002139176,16.974666595458984,0.009650312,0,0.1638108342885971,0,0,0,0.056851036846637726
2.9,1000,0.009229128,0.002171954,16.974605560302734,0.016748961061239243,0,0.28430700302124023,0,0,0,0.032461841
3,1000,0.009896448,0.002157995,16.974594116210938,0.035167813301086426,0,0.5969593524932861,0,0,0,0.016578093
3.1,1000,0.009621984,0.002159014,16.97460365,0.025833761,0,0.43851786851882935,0,0,0,0.021942058578133583
3.2,1000,0.009743571,0.002174091,16.97463035583496,0.007139961,0,0.12119819968938828,0,0,0,0.080393694
3.3,1000,0.009654723,0.002179454,16.974687576293945,0.016057277098298073,0,0.2725672721862793,0,0,0,0.035421435
3.4,1000,0.009483025,0.002134811,16.97473145,0.021711221,0,0.3685421347618103,0,0,0,0.025731184
3.5,1000,0.009493089,0.002090096,16.97473145,0.019232280552387238,0,0.3264628052711487,0,0,0,0.029078625
3.6,1000,0.008916354,0.002150641,16.974729537963867,0.001203037,0,0.020421226,0,0,0,0.43662187457084656
3.7,1000,0.008478139,0.002178773,16.974727630615234,0.0034656,0,0.058827608823776245,0,0,0,0.14411835372447968
3.8,1000,0.009281999,0.002176644,16.974727630615234,-0.001405344,0,-0.02385534,0,0,0,-0.389095247
3.9,1000,0.009333024,0.002162637,16.97473145,0.002350803,0,0.039904240518808365,0,0,0,0.2338855117559433
4,1000,0.009528295,0.002136075,16.974708557128906,-0.001512968,0,-0.025682192,0,0,0,-0.37100786
4.1,1000,0.009699756,0.002078421,16.97466468811035,-0.008331636,0,-0.141426727,0,0,0,-0.068585031
4.2,1000,0.009864638,0.002119904,16.974716186523438,-0.01743542,0,-0.29596132,0,0,0,-0.033330835
4.3,1000,0.009340358,0.002120093,16.97472572,-0.013369224,0,-0.226938918,0,0,0,-0.041158028
4.4,1000,0.008829458,0.002126414,16.974706649780273,-0.012411295,0,-0.210678086,0,0,0,-0.041909713
4.5,1000,0.008664332,0.002139981,16.974708557128906,0.001747723,0,0.029667085,0,0,0,0.2920520305633545
4.6,1000,0.009062083,0.002128014,16.974716186523438,0.007473272,0,0.12685666978359222,0,0,0,0.071435601
4.7,1000,0.008768138,0.002107249,16.97473717,0.003734827,0,0.063397706,0,0,0,0.1383037269115448
4.8,1000,0.008580443,0.002153412,16.974720001220703,-0.003113527,0,-0.052851256,0,0,0,-0.162350789
4.9,1000,0.008246269,0.002198539,16.974735260009766,-0.008970739,0,-0.15227592,0,0,0,-0.054153465
5,1000,0.007756516,0.00217535,16.974733352661133,-0.003071269,0,-0.052133966,0,0,0,-0.148780465
5.1,1000,0.008085134,0.002186373,16.974729537963867,0.001408062,0,0.023901464,0,0,0,0.3382693827152252
5.2,1000,0.009146586,0.002161111,16.97472572,-0.000980848,0,-0.016649619,0,0,0,-0.549357057
5.3,1000,0.009385715,0.002256759,16.974729537963867,-0.000558944,0,-0.009487922,0,0,0,-0.989227653
5.4,1000,0.009708447,0.002222467,16.974721908569336,-0.002139371,0,-0.036315225,0,0,0,-0.267338216
5.5,1000,0.009948916,0.002097799,16.974702835083008,-0.001954375,0,-0.033174932,0,0,0,-0.299892575
5.6,1000,0.009788149,0.002109317,16.974687576293945,-0.005389292,0,-0.091481544,0,0,0,-0.106995888
5.7,1000,0.010124484077095985,0.002189098,16.97466468811035,-0.000624381,0,-0.010598663,0,0,0,-0.955260456
5.8,1000,0.010079723782837391,0.002171984,16.974685668945312,-0.010755681,0,-0.182574302,0,0,0,-0.055208888
