Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,0,0.038341742008924484,0.002885531634092331,16.974973678588867,-0.02994135022163391,0,-0.5082536339759827,0,0,0,-0.07543820887804031
0.1,0,0.03859575465321541,0.002863351022824645,16.974971771240234,-0.017258768901228905,0,-0.2929671108722687,0,0,0,-0.13174091279506683
0.2,0,0.037310753017663956,0.002891713520511985,16.974971771240234,-0.01648055389523506,0,-0.27975693345069885,0,0,0,-0.13336846232414246
0.3,0,0.03633120283484459,0.0028787855990231037,16.974973678588867,-0.00883402582257986,0,-0.14995735883712769,0,0,0,-0.2422768920660019
0.4,0,0.03663022443652153,0.0028580105863511562,16.974958419799805,-0.014600417576730251,0,-0.247841477394104,0,0,0,-0.14779698848724365
0.5,0,0.037587910890579224,0.0028904234059154987,16.97494125366211,-0.027000969275832176,0,-0.4583398699760437,0,0,0,-0.08200881630182266
0.6,0,0.03826023265719414,0.002929022302851081,16.9749698638916,-0.024310393258929253,0,-0.4126681983470917,0,0,0,-0.09271427243947983
0.7,0,-0.010293361730873585,-0.0038134828209877014,16.930408477783203,2.4944956302642822,0,42.23283004760742,0,0,0,-0.00024372890766244382
0.8,0,-0.06176578253507614,0.0118839917704463,16.9285945892334,5.925075054168701,0,100.30319213867188,0,0,0,-0.000615790777374059
0.9,0,-0.07080599665641785,0.006622648797929287,16.990678787231445,5.251922130584717,0,89.23371887207031,0,0,0,-0.0007934892200864851
1,0,-0.056645672768354416,0.007008905988186598,17.0045223236084,2.8549365997314453,0,48.54683303833008,0,0,0,-0.0011668252991512418
1.1,0,-0.054413482546806335,0.006411919370293617,16.994709014892578,1.5713127851486206,0,26.704004287719727,0,0,0,-0.002037652535364032
1.2,0,-0.049828097224235535,0.006098379846662283,16.98679542541504,0.8920620083808899,0,15.153274536132812,0,0,0,-0.003288272535428405
1.3,0,-0.04716556519269943,0.006001502741128206,16.981548309326172,0.5172755122184753,0,8.784138679504395,0,0,0,-0.005369401071220636
1.4,0,-0.046338409185409546,0.005977385211735964,16.978511810302734,0.312199205160141,0,5.30067777633667,0,0,0,-0.008741977624595165
1.5,0,-0.04620123654603958,0.005840421654284,16.976877212524414,0.2139018177986145,0,3.63138484954834,0,0,0,-0.012722759507596493
1.6,0,-0.04717019200325012,0.0058828298933804035,16.97594451904297,0.14568239450454712,0,2.4730961322784424,0,0,0,-0.019073333591222763
1.7,0,-0.041144344955682755,0.0055661811493337154,16.975505828857422,0.11034710705280304,0,1.8731979131698608,0,0,0,-0.02196476049721241
1.8,0,-0.044842202216386795,0.00568400090560317,16.9752254486084,0.0895407646894455,0,1.519974708557129,0,0,0,-0.029501941055059433
1.9,0,-0.04626619443297386,0.00567799573764205,16.975093841552734,0.09561021625995636,0,1.6229923963546753,0,0,0,-0.028506722301244736
2,0,-0.04684872925281525,0.005733715370297432,16.97503089904785,0.10343973338603973,0,1.7558926343917847,0,0,0,-0.02668086066842079
2.1,0,-0.04738377034664154,0.005688176024705172,16.975025177001953,0.08992831408977509,0,1.5265353918075562,0,0,0,-0.031040072441101074
2.2,0,-0.04748154804110527,0.0056982762180268764,16.974966049194336,0.07818584889173508,0,1.3272020816802979,0,0,0,-0.035775672644376755
2.3,0,-0.046725958585739136,0.005731424316763878,16.97492790222168,0.07610520720481873,0,1.2918803691864014,0,0,0,-0.03616895154118538
2.4,0,-0.04678020998835564,0.0057348450645804405,16.97490119934082,0.07983095943927765,0,1.355122685432434,0,0,0,-0.03452101722359657
2.5,0,-0.04690273851156235,0.005733737256377935,16.97488021850586,0.08405445516109467,0,1.426814317703247,0,0,0,-0.03287234902381897
2.6,0,-0.04703420028090477,0.005699125584214926,16.97482681274414,0.09091655164957047,0,1.543292760848999,0,0,0,-0.03047652542591095
2.7,0,-0.04746813699603081,0.0056894500739872456,16.97482681274414,0.08888623118400574,0,1.5088284015655518,0,0,0,-0.03146026283502579
2.8,0,-0.047005027532577515,0.0057732947170734406,16.974885940551758,0.08951593190431595,0,1.519522786140442,0,0,0,-0.03093407303094864
2.9,0,-0.047259844839572906,0.005764801520854235,16.974910736083984,0.09549211710691452,0,1.6209701299667358,0,0,0,-0.02915528416633606
3,0,-0.0480671301484108,0.005781335756182671,16.974870681762695,0.10012777894735336,0,1.6996561288833618,0,0,0,-0.028280504047870636
3.1,0,-0.048557158559560776,0.005773015785962343,16.97486686706543,0.0908040925860405,0,1.5413874387741089,0,0,0,-0.031502243131399155
3.2,0,-0.04838225990533829,0.005743357818573713,16.974828720092773,0.08255176246166229,0,1.4013019800186157,0,0,0,-0.03452664613723755
3.3,0,-0.04789119213819504,0.005686952266842127,16.974811553955078,0.08309764415025711,0,1.410566806793213,0,0,0,-0.033951736986637115
3.4,0,-0.04807647690176964,0.005661836359649897,16.974851608276367,0.08560913056135178,0,1.453202247619629,0,0,0,-0.033083125948905945
3.5,0,-0.047303713858127594,0.005690815392881632,16.974838256835938,0.0825822651386261,0,1.4018205404281616,0,0,0,-0.033744484186172485
3.6,0,-0.047508884221315384,0.005665438249707222,16.9748477935791,0.08200196176767349,0,1.3919708728790283,0,0,0,-0.03413066267967224
3.7,0,-0.04762672260403633,0.0056646098382771015,16.974830627441406,0.06758151203393936,0,1.1471847295761108,0,0,0,-0.041516177356243134
3.8,0,-0.04797562584280968,0.005697200074791908,16.97481346130371,0.07299700379371643,0,1.2391104698181152,0,0,0,-0.03871779516339302
3.9,0,-0.04713824763894081,0.005732089281082153,16.974803924560547,0.07866561412811279,0,1.3353333473205566,0,0,0,-0.03530073165893555
4,0,-0.04650789871811867,0.005702356342226267,16.974828720092773,0.08786587417125702,0,1.49150812625885,0,0,0,-0.03118179365992546
4.1,0,-0.046237338334321976,0.005745133385062218,16.974830627441406,0.09971664845943451,0,1.6926732063293457,0,0,0,-0.02731616422533989
4.2,0,-0.04573756828904152,0.005748196039348841,16.974796295166016,0.09831849485635757,0,1.6689363718032837,0,0,0,-0.02740521915256977
4.3,0,-0.045500900596380234,0.0055381483398377895,16.974746704101562,0.1072075366973877,0,1.819820761680603,0,0,0,-0.02500295639038086
4.4,0,-0.04608818516135216,0.005681219976395369,16.97473907470703,0.0935995951294899,0,1.588828682899475,0,0,0,-0.029007649049162865
4.5,0,-0.04535246267914772,0.005758439190685749,16.974748611450195,0.0926462784409523,0,1.5726473331451416,0,0,0,-0.02883829176425934
4.6,0,-0.045407623052597046,0.005796294193714857,16.97475242614746,0.09789686650037766,0,1.6617751121520996,0,0,0,-0.027324771508574486
4.7,0,-0.04545211046934128,0.005715528503060341,16.974735260009766,0.10545481741428375,0,1.7900675535202026,0,0,0,-0.02539128065109253
4.8,0,-0.045502398163080215,0.005713371094316244,16.974742889404297,0.09567730873823166,0,1.6240977048873901,0,0,0,-0.028017032891511917
4.9,0,-0.04575125873088837,0.005676702130585909,16.97473907470703,0.07338171452283859,0,1.2456355094909668,0,0,0,-0.03672925382852554
5,0,-0.045132968574762344,0.005713379010558128,16.97473907470703,0.07968755811452866,0,1.3526755571365356,0,0,0,-0.033365704119205475
5.1,0,-0.0452493280172348,0.005710483528673649,16.9747314453125,0.08728226274251938,0,1.4815930128097534,0,0,0,-0.03054099716246128
5.2,0,-0.04504337161779404,0.005713833030313253,16.97474479675293,0.07899551093578339,0,1.3409286737442017,0,0,0,-0.03359117731451988
5.3,0,-0.04501993954181671,0.005734524689614773,16.97473907470703,0.07913342118263245,0,1.3432692289352417,0,0,0,-0.03351520374417305
5.4,0,-0.04523587226867676,0.005722417030483484,16.974773406982422,0.0731382817029953,0,1.241505742073059,0,0,0,-0.0364362969994545
5.5,0,-0.044314123690128326,0.005756455939263105,16.974750518798828,0.08417990803718567,0,1.4289329051971436,0,0,0,-0.03101203963160515
5.6,0,-0.044525232166051865,0.005769576411694288,16.97477149963379,0.08022142201662064,0,1.3617403507232666,0,0,0,-0.03269730135798454
5.7,0,-0.04524277150630951,0.005750627722591162,16.97475814819336,0.08246668428182602,0,1.3998520374298096,0,0,0,-0.032319679856300354
5.8,0,-0.04503652825951576,0.005724122282117605,16.974760055541992,0.07486028969287872,0,1.270735502243042,0,0,0,-0.035441309213638306
