Time (s),ARC RD - ESC throttle (μs),ARC RD - force Fz (thrust) (N),ARC RD - torque MZ (torque) (N⋅m),ARC RD - voltage (V),ARC RD - current (A),ARC RD - rotation speed (rpm),ARC RD - electrical power (W),ARC RD - mechanical power (W),ARC RD - motor & ESC efficiency (%),ARC RD - propeller efficiency (N/W),ARC RD - powertrain efficiency (N/W)
0,1000,0.065811947,-0.006532209,16.97502899169922,-0.195551574,0,-3.319493532,0,0,0,-0.0198259
0.1,1000,0.066019095,-0.006458163,16.97501564025879,-0.200108156,0,-3.396839142,0,0,0,-0.01943545
0.2,1000,0.066035494,-0.006562841,16.974958419799805,-0.188355401,0,-3.197324991,0,0,0,-0.020653356
0.3,1000,0.066255957,-0.006698682,16.974931716918945,-0.18090196,0,-3.070798397,0,0,0,-0.021576134
0.4,1000,0.066567995,-0.006621422,16.97488021850586,-0.185156167,0,-3.143003702,0,0,0,-0.021179738
0.5,1000,0.066554129,-0.006614501,16.97489356994629,-0.182660639,0,-3.100644827,0,0,0,-0.021464609
0.6,1000,0.06633921,-0.006645437,16.974851608276367,-0.177791923,0,-3.017991543,0,0,0,-0.021981245
0.7,1000,0.066643514,-0.006612971,16.974828720092773,-0.190186739,0,-3.228387356,0,0,0,-0.020642973
0.8,1000,0.066457547,-0.006627512,16.97484588623047,-0.189991087,0,-3.225069523,0,0,0,-0.020606548
0.9,1000,0.066385947,-0.006642462,16.97484779,-0.203745544,0,-3.4585495,0,0,0,-0.019194737
1,1000,0.067159995,-0.00663569,16.974815368652344,-0.200766236,0,-3.407969713,0,0,0,-0.019706747
1.1,1000,0.06729576,-0.00670989,16.974790573120117,-0.193586484,0,-3.286090136,0,0,0,-0.020478977
1.2,1000,0.065564461,-0.00667021,16.974803924560547,-0.18348293,0,-3.11458683,0,0,0,-0.021050774
1.3,1000,0.066226564,-0.006710407,16.974822998046875,-0.179313511,0,-3.043815136,0,0,0,-0.021757748
1.4,1000,0.066042528,-0.006729304,16.974821090698242,-0.179976881,0,-3.055075407,0,0,0,-0.021617316
1.5,1000,0.066828936,-0.00673895,16.974828720092773,-0.198034912,0,-3.361608744,0,0,0,-0.019880045
1.6,1000,0.066854529,-0.006742666,16.97480583190918,-0.179985002,0,-3.055210352,0,0,0,-0.021882135
1.7,1000,0.066533506,-0.006778428,16.97480583190918,-0.184742644,0,-3.135970592,0,0,0,-0.021216242
1.8,1000,0.066157073,-0.006787769,16.974821090698242,-0.185365573,0,-3.146547318,0,0,0,-0.021025291
1.9,1000,0.066336714,-0.006770127,16.97478675842285,-0.18702355,0,-3.174685001,0,0,0,-0.020895528
2,1000,0.066719353,-0.006805691,16.974781036376953,-0.174216285,0,-2.957283258,0,0,0,-0.022561029
2.1,1000,0.06641385,-0.006783227,16.974756240844727,-0.18451789,0,-3.13214612,0,0,0,-0.021203943
2.2,1000,0.066573389,-0.006799862,16.974769592285156,-0.179754883,0,-3.051297665,0,0,0,-0.021818057
2.3,1000,0.067174159,-0.006768992,16.974781036376953,-0.191227421,0,-3.246043682,0,0,0,-0.020694165
2.4,1000,0.067510873,-0.006760586,16.974790573120117,-0.188651532,0,-3.202320337,0,0,0,-0.021081861
2.5,1000,0.066816427,-0.00681817,16.97481918334961,-0.195140257,0,-3.312470675,0,0,0,-0.020171177
2.6,1000,0.066561669,-0.006849747,16.97482681274414,-0.189776659,0,-3.22142601,0,0,0,-0.020662175
2.7,1000,0.066643521,-0.006849538,16.974849700927734,-0.192028001,0,-3.259646416,0,0,0,-0.020445015
2.8,1000,0.066285565,-0.006874764,16.974821090698242,-0.179471746,0,-3.046500683,0,0,0,-0.021757934
2.9,1000,0.066426277,-0.006876563,16.974824905395508,-0.175094202,0,-2.97219348,0,0,0,-0.022349244
3,1000,0.067205124,-0.006839723,16.97481918334961,-0.173815012,0,-2.950478315,0,0,0,-0.022777705
3.1,1000,0.068029672,-0.006797598,16.974828720092773,-0.177878931,0,-3.019464493,0,0,0,-0.022530377
3.2,1000,0.067593537,-0.006786694,16.974838256835938,-0.17715092,0,-3.007108212,0,0,0,-0.022477919
3.3,1000,0.067763321,-0.006795732,16.974870681762695,-0.189497039,0,-3.216687679,0,0,0,-0.021066179
