Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,1531,15.037055969238281,0.27882617712020874,18.914281845092773,28.354528427124023,10195.930374466665,536.3055419921875,297.70697021484375,55.5107057094574,0.050509583204984665,0.028038226068019867
0.1,1531,15.053017616271973,0.27852052450180054,18.913864135742188,28.412904739379883,10197.423617743769,537.3978271484375,297.4241943359375,55.34525513648987,0.05061127617955208,0.028010938316583633
0.2,1531,15.037729263305664,0.2797211706638336,18.91135597229004,28.515993118286133,10201.33449299333,539.276123046875,298.8208923339844,55.411481857299805,0.05032355710864067,0.02788502909243107
0.3,1531,15.08881950378418,0.2816621959209442,18.906089782714844,28.624065399169922,10202.834730384146,541.1691284179688,300.9386901855469,55.60898780822754,0.050139181315898895,0.027881890535354614
0.4,1531,15.124715805053711,0.2830411493778229,18.898386001586914,28.762508392333984,10200.336666104024,543.5650024414062,302.3379821777344,55.62131404876709,0.050025854259729385,0.027825037017464638
0.5,1532,15.170016288757324,0.28247520327568054,18.900371551513672,28.770078659057617,10196.510885904603,543.7651977539062,301.6202697753906,55.46884536743164,0.05029508098959923,0.02789810113608837
0.6,1534,15.198517799377441,0.2841443121433258,18.893705368041992,28.925888061523438,10199.601118478846,546.5172119140625,303.4944763183594,55.532461404800415,0.05007840320467949,0.02780977077782154
0.7,1538,15.275062561035156,0.28740328550338745,18.876434326171875,29.310741424560547,10208.114120549646,553.2822875976562,307.2315979003906,55.528903007507324,0.04971839860081673,0.027608081698417664
0.8,1538,15.37273120880127,0.2913835346698761,18.84819221496582,29.935386657714844,10228.01353974048,564.2279052734375,312.0936279296875,55.31339645385742,0.049256790429353714,0.02724560536444187
0.9,1540,15.509600639343262,0.29322853684425354,18.843412399291992,30.18536949157715,10255.493412507436,568.7953491210938,314.9136047363281,55.36500811576843,0.04925033822655678,0.0272674523293972
1,1544,15.74024772644043,0.29860037565231323,18.82660484313965,30.61411476135254,10285.203241862293,576.35986328125,321.6116943359375,55.80050349235535,0.048941776156425476,0.027309758588671684
1.1,1552,15.936033248901367,0.30219340324401855,18.79749870300293,31.29865264892578,10324.246715963269,588.3363647460938,326.7171936035156,55.53237795829773,0.048776231706142426,0.02708660252392292
1.2,1554,15.90339469909668,0.3042505085468292,18.74696922302246,32.44189453125,10385.87768029099,608.1871948242188,330.90484619140625,54.40838932991028,0.04806032404303551,0.026148848235607147
1.3,1560,16.312191009521484,0.31069257855415344,18.726314544677734,33.11867904663086,10457.474090969976,620.1907958984375,340.24072265625,54.86065149307251,0.04794308915734291,0.02630189061164856
1.4,1565,16.418304443359375,0.313373327255249,18.686737060546875,34.120731353759766,10528.463179441802,637.6051635742188,345.50604248046875,54.18808460235596,0.04751959070563316,0.02574995718896389
1.5,1567,16.6347599029541,0.31689897179603577,18.64494514465332,35.23600387573242,10605.202595068944,656.973388671875,351.9398193359375,53.56987714767456,0.0472659207880497,0.025320295244455338
1.6,1569,16.833280563354492,0.32183945178985596,18.599899291992188,36.35432815551758,10675.608840731595,676.1868286132812,359.79949951171875,53.21006774902344,0.04678516834974289,0.02489442192018032
1.7,1574,17.017057418823242,0.32329994440078735,18.579614639282227,37.04570770263672,10746.101347130005,688.2949829101562,363.81884765625,52.857983112335205,0.04677343741059303,0.024723494425415993
1.8,1576,17.204421997070312,0.32686638832092285,18.54694938659668,37.923370361328125,10822.756833392625,703.3628540039062,370.45611572265625,52.669280767440796,0.04644118621945381,0.024460237473249435
1.9,1578,17.51758575439453,0.33363133668899536,18.513771057128906,38.808006286621094,10893.730767951412,718.4825439453125,380.6029052734375,52.97315716743469,0.04602588713169098,0.0243813656270504
2,1582,17.576736450195312,0.33500930666923523,18.475006103515625,39.74055099487305,10952.04652238055,734.2069091796875,384.220703125,52.33139395713806,0.04574645683169365,0.02393975853919983
2.1,1587,17.746965408325195,0.3379264771938324,18.4497013092041,40.491615295410156,11012.331119819079,747.0582275390625,389.6997375488281,52.1645724773407,0.04554010182619095,0.02375579997897148
2.2,1588,17.977327346801758,0.3395776152610779,18.41046714782715,41.53242492675781,11074.591554380708,764.63134765625,393.8178405761719,51.5042781829834,0.04564883932471275,0.02351110428571701
