Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,1000,-0.000864836445543915,-0.000056769240472931415,16.975339889526367,-0.007124333642423153,0,-0.12093798816204071,0,0,0,0.0071510737761855125
0.1,1000,-0.001354898326098919,-0.000059642108681146055,16.97552490234375,-0.011529039591550827,0,-0.19571149349212646,0,0,0,0.006922936532646418
0.2,1000,-0.0016284247394651175,-0.00014624196046497673,16.975116729736328,-0.0019943024963140488,0,-0.03385351598262787,0,0,0,0.048102084547281265
0.3,1000,-0.0006742705008946359,-0.00013139817747287452,16.975357055664062,0.0011394016910344362,0,0.01934175007045269,0,0,0,-0.03486088290810585
0.4,1000,-0.0012212410802021623,-0.00007530258153565228,16.974660873413086,0.001751223113387823,0,0.029726417735219002,0,0,0,-0.04108268395066261
0.5,1000,-0.0016648152377456427,-0.0000684613551129587,16.975069046020508,0.0030289602000266314,0,0.05141680687665939,0,0,0,-0.03237881138920784
0.6,1000,-0.0009546629735268652,-0.00004785564306075685,16.97525978088379,0.005349906627088785,0,0.09081605821847916,0,0,0,-0.010512051172554493
0.7,1000,-0.0008471570909023285,-0.000035998280509375036,16.97504425048828,0.006539607886224985,0,0.11101013422012329,0,0,0,-0.007631349377334118
0.8,1000,-0.0004568659933283925,0.000029076401915517636,16.975189208984375,0.008813844062387943,0,0.14961667358875275,0,0,0,-0.003053576685488224
0.9,1000,-0.0012648075353354216,0.000018055843611364253,16.9744930267334,0.001588226412422955,0,0.026959337294101715,0,0,0,-0.04691537842154503
1,1000,-0.0006603630026802421,-0.00008590637298766524,16.97557258605957,0.009057541377842426,0,0.15375694632530212,0,0,0,-0.004294849932193756
1.1,1000,-0.0010672030039131641,-0.00008777601033216342,16.97542953491211,0.0027298941276967525,0,0.046341124922037125,0,0,0,-0.023029284551739693
1.2,1000,-0.0015430786879733205,-0.000029003604140598327,16.975717544555664,0.004455549642443657,0,0.07563615590333939,0,0,0,-0.02040133811533451
1.3,1000,-0.0006039068102836609,-0.00005461488399305381,16.97533416748047,-0.010468840599060059,0,-0.1777120679616928,0,0,0,0.003398231929168105
