Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W),Powertrain 1 - Temperature PT100 2 (°C)
0,1000,-0.0005006607971154153,-0.0002201743482146412,16.97469711303711,-0.000047058947529876605,0,-0.0007988113793544471,0,0,0,0.6267572045326233,26.608697509765648
0.1,1000,-0.0006256978958845139,-0.00023030680313240737,16.974735260009766,-0.004180186428129673,0,-0.07095755636692047,0,0,0,0.008817917667329311,26.608483886718773
0.2,1000,-0.001780362450517714,-0.0002458035305608064,16.974733352661133,-0.0014136689715087414,0,-0.02399665303528309,0,0,0,0.074192114174366,26.608575439453148
0.3,1000,-0.0009451457881368697,-0.0001853859139373526,16.974733352661133,0.0025148673448711634,0,0.04268920421600342,0,0,0,-0.02214016020298004,26.607995605468773
0.4,1000,-0.0017017313512042165,-0.0002068582398351282,16.974729537963867,0.0002927877940237522,0,0.004969993606209755,0,0,0,-0.3424011170864105,26.608239746093773
0.5,1000,-0.0017403278034180403,-0.0002383635292062536,16.974721908569336,-0.0021764009725302458,0,-0.03694380074739456,0,0,0,0.04710743576288223,26.608514404296898
0.6,1000,-0.0021639999467879534,-0.00021864798327442259,16.974733352661133,-0.013636806048452854,0,-0.2314811497926712,0,0,0,0.009348493069410324,26.608544921875023
0.7,1000,-0.001711542485281825,-0.0002524035226088017,16.974668502807617,-0.003204402746632695,0,-0.05439367517828941,0,0,0,0.031465835869312286,26.608422851562523
0.8,1000,-0.001648930017836392,-0.00025577167980372906,16.97464370727539,-0.005280989687889814,0,-0.08964291960000992,0,0,0,0.01839442551136017,26.608453369140648
0.9,1000,-0.0013729978818446398,-0.00032082406687550247,16.974666595458984,-0.013044510036706924,0,-0.22142620384693146,0,0,0,0.006200701929628849,26.608270263671898
1,1000,-0.0012637365143746138,-0.000301453226711601,16.974645614624023,-0.018892254680395126,0,-0.32068932056427,0,0,0,0.003940687980502844,26.608331298828148
1.1,1000,-0.0009535971912555397,-0.00030358126969076693,16.974681854248047,-0.0178634375333786,0,-0.30322617292404175,0,0,0,0.003144838148728013,26.608422851562523
1.2,1000,-0.0018463454907760024,-0.00031134180608205497,16.974681854248047,-0.014427866786718369,0,-0.24490845203399658,0,0,0,0.007538921199738979,26.608361816406273
1.3,1000,-0.0019812583923339844,-0.00028854008996859193,16.974674224853516,-0.01236097514629364,92.04383871422638,-0.20982351899147034,-0.0027811825275421143,1.3254865072667599,0.7123798131942749,0.009442498907446861,26.608270263671898
1.4,1000,-0.0023319576866924763,-0.00029328875825740397,16.97467041015625,-0.008826439268887043,188.1996880886917,-0.14982590079307556,-0.005780200939625502,3.857945278286934,0.40343886613845825,0.015564450062811375,26.608850097656273
1.5,1000,-0.0022002735640853643,-0.00032869598362594843,16.974660873413086,-0.004870669916272163,284.35554657007583,-0.08267796784639359,-0.009787791408598423,11.838451772928238,0.22479775547981262,0.026612574234604836,26.609033203125023
1.6,1000,-0.0021319896914064884,-0.00034535062150098383,16.97467803955078,-0.018247006461024284,380.51140505146003,-0.30973705649375916,-0.013761207461357117,4.442867636680603,0.15492752194404602,0.006883224472403526,26.609277343750023
1.7,1000,-0.0017776575405150652,-0.00030493325903080404,16.974700927734375,-0.007469850592315197,476.66724531900644,-0.12679848074913025,-0.015221194364130497,12.004239857196808,0.11678831279277802,0.014019548892974854,26.609368896484398
1.8,1000,-0.0015095561975613236,-0.0002467531885486096,16.974695205688477,-0.0003745729918591678,572.8230855865528,-0.006358262151479721,-0.014801710844039917,200,0.10198525339365005,0.23741646111011505,26.609368896484398
1.9,1000,-0.001366100157611072,-0.0002984493912663311,16.974699020385742,-0.009341041557490826,668.9789622817748,-0.1585613638162613,-0.020907966420054436,13.18604052066803,0.06533873826265335,0.008615592494606972,26.608972167968773
2,2000,-0.0018072484526783228,-0.0002839897060766816,16.97468376159668,-0.0048933872021734715,765.1347661216456,-0.08306369930505753,-0.022754596546292305,27.39415168762207,0.0794234424829483,0.021757379174232483,26.609124755859398
2.1,2000,-0.00915893167257309,-0.0004846465599257499,16.9747371673584,-0.016586657613515854,861.2906428168676,-0.2815541625022888,-0.04371228069067001,15.525354444980621,0.2095276415348053,0.032529912889003754,26.609368896484398
2.2,2000,-0.030603546649217606,0.01531982421875,16.973711013793945,0.042494844645261765,957.4465195120896,0.7212952375411987,1.5360201597213745,200,-0.019923921674489975,-0.042428601533174515,26.609735107421898
2.3,2000,-0.07660938799381256,0.029118632897734642,16.972301483154297,0.19558307528495789,1053.6023962073116,3.3194949626922607,3.2127456665039062,96.78417444229126,-0.023845456540584564,-0.02307862788438797,26.610009765625023
2.4,2000,-0.16137534379959106,0.0364607498049736,16.971277236938477,0.4150697588920593,1182.5293384018769,7.04426383972168,4.515087127685547,64.095938205719,-0.03574135899543762,-0.022908758372068405,26.610253906250023
2.5,2000,-0.305137038230896,0.042008768767118454,16.970504760742188,0.7011037468910217,1474.489872587574,11.89808464050293,6.486499309539795,54.517173767089844,-0.047041866928339005,-0.025645896792411804,26.610162353515648
2.6,2000,-0.5057189464569092,0.04712267965078354,16.970001220703125,1.0264033079147339,1870.24800839493,17.418066024780273,9.229066848754883,52.985602617263794,-0.05479632318019867,-0.029034161940217018,26.610131835937523
2.7,2000,-0.7917925715446472,0.052065957337617874,16.96945571899414,1.4049628973007202,2315.1112337180402,23.841455459594727,12.622760772705078,52.94458866119385,-0.06272736936807632,-0.03321074694395065,26.610040283203148
2.8,2000,-1.1379363536834717,0.0575849674642086,16.96870231628418,1.8121331930160522,2779.290015447893,30.749547958374023,16.759906768798828,54.50456142425537,-0.06789633631706238,-0.03700660169124603,26.610284423828148
2.9,2000,-1.5523117780685425,0.06368984282016754,16.967782974243164,2.2717206478118896,3246.9916448270983,38.54606246948242,21.656085968017578,56.18235468864441,-0.07168016582727432,-0.04027160257101059,26.610040283203148
3,2000,-2.0077614784240723,0.07075304538011551,16.966703414916992,2.810088634490967,3711.626938187237,47.677940368652344,27.500341415405273,57.67937898635864,-0.07300860434770584,-0.04211090877652168,26.610223388671898
3.1,2000,-2.46730899810791,0.08044981956481934,16.96550750732422,3.44158935546875,4171.385294341609,58.388309478759766,35.142608642578125,60.187745094299316,-0.07020847499370575,-0.04225689917802811,26.610009765625023
3.2,2000,-3.1011056900024414,0.08948276191949844,16.96467399597168,4.164793491363525,4627.59617773794,70.65436553955078,43.36341094970703,61.37400269508362,-0.07151433825492859,-0.043891213834285736,26.610101318359398
3.3,2000,-3.7297394275665283,0.10056433826684952,16.963171005249023,5.023591995239258,5082.224934328768,85.21604919433594,53.52128219604492,62.80657649040222,-0.06968703866004944,-0.04376804083585739,26.609521484375023
3.4,2000,-4.415886402130127,0.11238613724708557,16.961122512817383,5.991450786590576,5533.819119833629,101.62173461914062,65.1277847290039,64.08844590187073,-0.06780341267585754,-0.04345415532588959,26.608453369140648
