Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,1000,0.009770270437002182,-0.0005652348627336323,16.975051879882812,0.10985638201236725,0,1.86481773853302,0,0,0,0.0052392627112567425
0.1,1000,0.0071643320843577385,-0.0003615280147641897,16.975032806396484,0.0467369481921196,0,0.793361246585846,0,0,0,0.009030353277921677
0.2,1000,0.0048857987858355045,-0.00019373142276890576,16.975046157836914,0.017156684771180153,0,0.2912355065345764,0,0,0,0.016776109114289284
0.3,1000,0.00398959219455719,-0.00010634055070113391,16.97504997253418,0.010361578315496445,0,0.1758883148431778,0,0,0,0.02268253266811371
0.4,1000,0.003211896400898695,-0.00002834393126249779,16.975069046020508,0.0011849550064653158,0,0.02011469379067421,0,0,0,0.159679114818573
0.5,1000,0.003041967051103711,-0.000007449548320437316,16.9751033782959,-0.00014863707474432886,0,-0.0025231298059225082,0,0,0,-1.2056324481964111
0.6,1000,0.00272037903778255,-0.000015068568245624192,16.97509002685547,-0.009944979101419449,42.50337472693781,-0.16881690919399261,-0.00006706934073008597,0.03972903941757977,-5,-0.0161143746227026
0.7,1000,0.0017754327272996306,0.00003131695484626107,16.97508430480957,-0.019536742940545082,267.0883001469878,-0.3316378593444824,0.0008759170887060463,-0.26411854196339846,2.0269415378570557,-0.005353528540581465
0.8,1000,0.0016842982731759548,-0.000010649097021087073,16.97507667541504,-0.009225609712302685,491.67326199471336,-0.15660543739795685,-0.0005482996930368245,0.350115355104208,-3.071857213973999,-0.010755043476819992
0.9,1000,0.0019007258815690875,0.000003973575985583011,16.975061416625977,-0.0014659921871498227,716.258223842439,-0.024885307997465134,0.0002980435674544424,-1.1976688168942928,5,-0.0763794407248497
1,1250,0.002066024113446474,-0.00006105746433604509,16.975059509277344,0.003153648227453232,940.843149262489,0.053533367812633514,-0.0060156784020364285,-11.23725026845932,-0.3434399366378784,0.03859320282936096
1.1,1250,0.0008328979020006955,0.006154816597700119,16.918119430541992,3.126176595687866,1165.4280746825389,52.88903045654297,0.751154363155365,1.4202461577951908,0.0011088238097727299,0.0000157480280904565
1.2,1250,0.019357528537511826,0.049738120287656784,16.924482345581055,6.92577600479126,1390.01307295794,117.21517181396484,7.23997163772583,6.176650524139404,0.0026737023144960403,0.00016514524759259075
1.3,1250,0.36485055088996887,0.09211751073598862,16.978979110717773,6.104353427886963,1842.5007564892655,103.64569091796875,17.773725509643555,17.148543894290924,0.020527521148324013,0.0035201709251850843
1.4,1250,0.8993585109710693,0.08340255171060562,16.9888858795166,4.951201438903809,2534.922385109547,84.11539459228516,22.139745712280273,26.320680975914,0.04062189906835556,0.010691960342228413
1.5,1250,1.233451247215271,0.05360236391425133,16.99477767944336,3.506478786468506,2967.5663109383154,59.591827392578125,16.657621383666992,27.952861785888672,0.0740472599864006,0.02069832943379879
1.6,1250,1.3571280241012573,0.04349000006914139,16.98421859741211,2.8739984035491943,3135.6115496794846,48.812618255615234,14.280397415161133,29.255545139312744,0.09503433108329773,0.027802811935544014
1.7,1250,1.442947268486023,0.03700904920697212,16.98225975036621,2.5027735233306885,3243.3083696945205,42.502750396728516,12.569696426391602,29.573842883110046,0.11479571461677551,0.03394950181245804
1.8,1250,1.4620335102081299,0.03608590364456177,16.976577758789062,2.395385980606079,3283.5918418720153,40.66545486450195,12.408388137817383,30.51333725452423,0.11782622337341309,0.03595271334052086
1.9,1250,1.5242327451705933,0.034567978233098984,16.97743034362793,2.317629098892212,3345.9169719854635,39.34738540649414,12.112052917480469,30.78235685825348,0.1258442997932434,0.038737840950489044
2,1250,1.5360251665115356,0.03167208656668663,16.977352142333984,2.1909661293029785,3365.113191327028,37.19680404663086,11.16104793548584,30.00539541244507,0.13762374222278595,0.04129454866051674
2.1,1250,1.5357462167739868,0.03054015152156353,16.977140426635742,2.136751174926758,3366.1544400056177,36.27592468261719,10.765491485595703,29.676681756973267,0.14265453815460205,0.042335137724876404
2.2,1250,1.5245351791381836,0.030966520309448242,16.975828170776367,2.1382017135620117,3348.8475056299926,36.29774475097656,10.859663963317871,29.918289184570312,0.14038510620594025,0.042000822722911835
2.3,1250,1.5294955968856812,0.032199639827013016,16.97531509399414,2.1936957836151123,3359.896456763512,37.238677978515625,11.329363822937012,30.423647165298462,0.13500277698040009,0.041072770953178406
2.4,1250,1.5331664085388184,0.035608939826488495,16.971834182739258,2.304210901260376,3357.226745276089,39.106685638427734,12.518962860107422,32.01233446598053,0.1224675327539444,0.039204712957143784
2.5,1250,1.560180425643921,0.029402470216155052,16.978601455688477,2.140103816986084,3389.408702406059,36.335968017578125,10.436055183410645,28.721004724502563,0.1494990587234497,0.04293762892484665
2.6,1250,1.5286986827850342,0.029106704518198967,16.977283477783203,2.1139535903930664,3368.89205268031,35.889190673828125,10.26854133605957,28.611794114112854,0.14887204766273499,0.04259496182203293
2.7,1250,1.54538893699646,0.03553006798028946,16.973039627075195,2.3536839485168457,3375.2633988488005,39.94916915893555,12.558342933654785,31.435802578926086,0.12305676192045212,0.03868388012051582
2.8,1250,1.5214399099349976,0.02904360182583332,16.977527618408203,2.1174821853637695,3361.3701748065096,35.94961166381836,10.22340202331543,28.43814194202423,0.14881934225559235,0.04232145473361015
2.9,1250,1.5103341341018677,0.03404828533530235,16.972707748413086,2.2652339935302734,3342.9639988927815,38.4471549987793,11.919431686401367,31.002116203308105,0.1267119199037552,0.039283379912376404
3,1250,1.5110843181610107,0.03185540437698364,16.975160598754883,2.1870641708374023,3343.490305949466,37.12576675415039,11.15351676940918,30.04252314567566,0.13548053801059723,0.040701769292354584
3.1,1250,1.5247355699539185,0.031549643725156784,16.97585105895996,2.191274404525757,3357.2480190386236,37.19874954223633,11.091914176940918,29.81797754764557,0.13746370375156403,0.040988896042108536
3.2,1250,1.5471121072769165,0.03495797514915466,16.973623275756836,2.330552577972412,3370.6778830476205,39.55792236328125,12.339345932006836,31.19311034679413,0.12538039684295654,0.03911004588007927
3.3,1250,1.6017265319824219,0.040975432842969894,16.970815658569336,2.6132724285125732,3433.4605447662707,44.349365234375,14.73276424407959,33.21978449821472,0.10871867090463638,0.0361161082983017
3.4,1250,1.660744309425354,0.03622516617178917,16.976362228393555,2.504127025604248,3495.2692761507906,42.51096725463867,13.259270668029785,31.190234422683716,0.12525156140327454,0.03906625509262085
3.5,1250,1.669417381286621,0.03533201292157173,16.975589752197266,2.4699676036834717,3507.5996072002804,41.92915725708008,12.977977752685547,30.952155590057373,0.12863463163375854,0.03981519117951393
3.6,1250,1.6611601114273071,0.03610934689640999,16.97376823425293,2.5018041133880615,3504.823235478778,42.46504211425781,13.253005027770996,31.2092125415802,0.12534214556217194,0.03911829739809036
3.7,1250,1.6849106550216675,0.03612658008933067,16.974977493286133,2.527616262435913,3525.6479176291755,42.90623092651367,13.338113784790039,31.08665943145752,0.12632301449775696,0.03926960378885269
3.8,1250,1.6925084590911865,0.03692879155278206,16.9736270904541,2.5615291595458984,3528.247105136689,43.47843933105469,13.6443452835083,31.381863355636597,0.12404467910528183,0.038927532732486725
3.9,1250,1.7134453058242798,0.0365254171192646,16.974781036376953,2.5701026916503906,3546.5687688430867,43.626930236816406,13.565386772155762,31.0940682888031,0.1263100951910019,0.039274945855140686
4,1250,1.7392538785934448,0.03598541021347046,16.976322174072266,2.579110860824585,3571.062737898642,43.783817291259766,13.457133293151855,30.735403299331665,0.12924401462078094,0.03972366824746132
4.1,1250,1.725766658782959,0.034297969192266464,16.976165771484375,2.4884226322174072,3558.0988567155796,42.243873596191406,12.779534339904785,30.251803994178772,0.13504143059253693,0.04085247218608856
4.2,1250,1.706791877746582,0.03431263193488121,16.975141525268555,2.4624826908111572,3536.7373763379323,41.80099105834961,12.70824146270752,30.401769280433655,0.1343059092760086,0.040831372141838074
4.3,1250,1.7117549180984497,0.03639333322644234,16.974199295043945,2.5541675090789795,3541.1885468715977,43.354949951171875,13.495826721191406,31.128689646720886,0.1268358677625656,0.039482343941926956
4.4,1250,1.7087035179138184,0.03503698855638504,16.97509002685547,2.5142598152160645,3541.0961662863433,42.679786682128906,12.992511749267578,30.44183850288391,0.13151448965072632,0.0400354266166687
4.5,1250,1.6901862621307373,0.03214442729949951,16.977176666259766,2.37565016746521,3526.110403398255,40.33183288574219,11.869440078735352,29.42945659160614,0.1423981487751007,0.04190700501203537
