Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,1000,0.054005663841962814,-0.008719145320355892,17.053762435913086,-0.21032187342643738,0,-3.5867793560028076,0,0,0,-0.015056868083775043
0.1,1000,0.030628900974988937,-0.00791634526103735,17.053709030151367,-0.17209741473197937,0,-2.93489933013916,0,0,0,-0.010436099953949451
0.2,1000,0.017852311953902245,-0.007539406884461641,17.053730010986328,-0.1450510174036026,0,-2.473660945892334,0,0,0,-0.007216960191726685
0.3,1000,0.011516985483467579,-0.007343641482293606,17.05375862121582,-0.1345192939043045,0,-2.2940595149993896,0,0,0,-0.005020351614803076
0.4,1000,0.007986906915903091,-0.007236650213599205,17.05376434326172,-0.12842020392417908,0,-2.1900479793548584,0,0,0,-0.003646909724920988
0.5,1000,0.006047789938747883,-0.007158057298511267,17.053756713867188,-0.12297207862138748,0,-2.0971360206604004,0,0,0,-0.002883833134546876
0.6,1000,0.005633560474961996,-0.007076258305460215,17.053739547729492,-0.12537136673927307,0,-2.1380505561828613,0,0,0,-0.002634905045852065
0.7,1000,0.0050308010540902615,-0.007065402343869209,17.053756713867188,-0.12691979110240936,0,-2.164459228515625,0,0,0,-0.002324276138097048
0.8,1000,0.004557270091027021,-0.007117671426385641,17.053762435913086,-0.12365204095840454,0,-2.1087324619293213,0,0,0,-0.002161141950637102
0.9,1000,0.005087950266897678,-0.007120597176253796,17.053752899169922,-0.12607233226299286,0,-2.1500062942504883,0,0,0,-0.0023664813488721848
1,1000,0.004246906843036413,-0.007093153428286314,17.053747177124023,-0.12587791681289673,0,-2.1466901302337646,0,0,0,-0.0019783510360866785
1.1,1000,0.003756926627829671,-0.007048020139336586,17.05375862121582,-0.11957702785730362,0,-2.0392377376556396,0,0,0,-0.0018423190340399742
1.2,1000,0.0033854700159281492,-0.007025965489447117,17.053752899169922,-0.11716558784246445,0,-1.9981130361557007,0,0,0,-0.001694333623163402
1.3,1000,0.004079870413988829,-0.0070253112353384495,17.053752899169922,-0.11144585907459259,0,-1.9005701541900635,0,0,0,-0.002146656159311533
1.4,1000,0.005452022887766361,-0.007069250103086233,17.053741455078125,-0.11685411632061005,0,-1.9927998781204224,0,0,0,-0.0027358606457710266
1.5,1000,0.006690334063023329,-0.007036066614091396,17.053728103637695,-0.10884960740804672,0,-1.856291651725769,0,0,0,-0.003604139667004347
1.6,1000,0.007011985871940851,-0.007030473090708256,17.053709030151367,-0.11057845503091812,19.47833575177209,-1.8857728242874146,-0.01434052363038063,0.7604587357491255,-0.4889630079269409,-0.003718361956998706
1.7,1000,0.006567964795976877,-0.007069865241646767,17.053699493408203,-0.11302880197763443,67.68045832214251,-1.92755925655365,-0.05010753497481346,2.599532902240753,-0.131077378988266,-0.0034073996357619762
1.8,1000,0.006903126370161772,-0.0070667811669409275,17.05370330810547,-0.11732397973537445,115.88259227616157,-2.0008082389831543,-0.08575677871704102,4.286106675863266,-0.08049656450748444,-0.003450168762356043
1.9,1000,0.006700405851006508,-0.007091580890119076,17.053709030151367,-0.11124292016029358,164.0847125698023,-1.8971043825149536,-0.12185399979352951,6.423157453536987,-0.054987162351608276,-0.0035319121088832617
2,1000,0.006583987269550562,-0.007057092152535915,17.053770065307617,-0.11015870422124863,212.28683286344298,-1.878621220588684,-0.15688356757164001,8.350995182991028,-0.041967347264289856,-0.003504691179841757
2.1,1000,0.006850165314972401,-0.006994880270212889,17.053756713867188,-0.10665620118379593,260.4889713709215,-1.8188889026641846,-0.1908087283372879,10.490400344133377,-0.03590068966150284,-0.0037661262322217226
2.2,1000,0.007322065997868776,-0.007014296483248472,17.053743362426758,-0.10312417149543762,308.69110987839997,-1.758653163909912,-0.22674454748630524,12.893079221248627,-0.03229213505983353,-0.00416345102712512
2.3,1000,0.006812601815909147,-0.00701953424140811,17.053749084472656,-0.0984562411904335,356.8932301720407,-1.6790480613708496,-0.262346476316452,15.624715387821198,-0.025967957451939583,-0.004057419020682573
2.4,1000,0.007234974764287472,-0.007001991383731365,17.053733825683594,-0.10730667412281036,405.0953504656814,-1.829979419708252,-0.29703488945961,16.23159646987915,-0.024357324466109276,-0.0039535826072096825
2.5,1000,0.0132434768602252,-0.007009765598922968,17.053760528564453,-0.12988251447677612,453.2974707593221,-2.2149853706359863,-0.3327479660511017,15.022581815719604,-0.03980032354593277,-0.00597903598099947
2.6,1000,0.023544229567050934,0.001646211720071733,17.053401947021484,-0.103965163230896,501.49962748063837,-1.7729597091674805,0.08645396679639816,-4.876251146197319,0.2723325490951538,-0.013279618695378304
2.7,1000,0.04606334865093231,0.005443909205496311,17.05315589904785,-0.07354868203401566,549.7017113466035,-1.254237174987793,0.31337660551071167,-24.985435605049133,0.14699038863182068,-0.03672618791460991
2.8,1000,0.06399423629045486,0.006776582449674606,17.052963256835938,-0.034673649817705154,597.9038680679198,-0.5912884473800659,0.4242977201938629,-71.7581570148468,0.15082389116287231,-0.10822845250368118
2.9,1000,0.08588288724422455,0.007910152897238731,17.05282211303711,0.02709035947918892,692.3164983485766,0.4619670808315277,0.5734798908233643,124.1386890411377,0.14975745975971222,0.18590694665908813
3,1000,0.12430260330438614,0.008999502286314964,17.05263900756836,0.09648804366588593,832.0847539258931,1.6453757286071777,0.7841780185699463,47.659510374069214,0.15851324796676636,0.07554663717746735
3.1,1000,0.17591308057308197,0.010112518444657326,17.052467346191406,0.18842263519763947,999.1185418270912,3.213070869445801,1.0580470561981201,32.92946517467499,0.16626206040382385,0.05474920570850372
3.2,1000,0.23784539103507996,0.01116602960973978,17.052343368530273,0.2695881724357605,1179.3639919606017,4.597110271453857,1.3790348768234253,29.997864365577698,0.17247235774993896,0.05173802375793457
3.3,1000,0.28773757815361023,0.012818963266909122,17.052152633666992,0.3741559088230133,1367.2495642028239,6.380163669586182,1.835394024848938,28.767192363739014,0.15677155554294586,0.04509877786040306
3.4,1000,0.35332435369491577,0.014527704566717148,17.052082061767578,0.4876042306423187,1558.4336624682176,8.314667701721191,2.370903730392456,28.514716029167175,0.14902517199516296,0.04249410703778267
3.5,1000,0.43683257699012756,0.016033336520195007,17.05206298828125,0.5862491726875305,1751.2540919203686,9.996757507324219,2.9403679370880127,29.413217306137085,0.1485639065504074,0.04369742423295975
3.6,1000,0.5267556309700012,0.017976408824324608,17.051912307739258,0.695773184299469,1944.3405891149075,11.864263534545898,3.6601922512054443,30.850565433502197,0.14391474425792694,0.044398512691259384
3.7,1000,0.635591447353363,0.019989166408777237,17.05189323425293,0.830332338809967,2137.582705339496,14.158738136291504,4.474517822265625,31.602516770362854,0.14204691350460052,0.044890400022268295
3.8,1000,0.7503582239151001,0.022205738350749016,17.051788330078125,0.9536108374595642,2330.611938228034,16.260770797729492,5.419557094573975,33.329030871391296,0.13845378160476685,0.046145305037498474
3.9,1000,0.8876296877861023,0.024413127452135086,17.051774978637695,1.101702094078064,2522.822568391086,18.78597640991211,6.44968843460083,34.33246314525604,0.1376236528158188,0.04724958911538124
4,1000,1.023054838180542,0.02677345648407936,17.05168342590332,1.245469331741333,2714.5131570576523,21.237348556518555,7.6107072830200195,35.83642840385437,0.13442309200763702,0.04817243665456772
4.1,1000,1.1736851930618286,0.02941499836742878,17.05150032043457,1.4100388288497925,2905.4265248381844,24.043277740478516,8.949676513671875,37.223196029663086,0.1311427503824234,0.0488155223429203
4.2,1000,1.331262469291687,0.032114095985889435,17.05124855041504,1.5881627798080444,3095.296895411699,27.080158233642578,10.409421920776367,38.439297676086426,0.12789013981819153,0.04916007071733475
4.3,1000,1.4998176097869873,0.03513634577393532,17.05112075805664,1.7477779388427734,3284.3157326410096,29.801572799682617,12.084539413452148,40.5500054359436,0.12411044538021088,0.050326794385910034
4.4,1000,1.681048035621643,0.03819897398352623,17.05088996887207,1.936343789100647,3473.406550957254,33.01638412475586,13.89427661895752,42.082974314689636,0.12098852545022964,0.05091556906700134
4.5,1000,1.8733021020889282,0.04135439917445183,17.05082893371582,2.1263136863708496,3661.9247262134836,36.255409240722656,15.858413696289062,43.74081790447235,0.11812669783830643,0.051669586449861526
4.6,1000,2.0660641193389893,0.044945571571588516,17.050512313842773,2.353259325027466,3850.256683192182,40.12427520751953,18.12196159362793,45.16458213329315,0.11400885879993439,0.051491621881723404
4.7,1000,2.2573375701904297,0.04863320291042328,17.05028533935547,2.5623929500579834,4037.4701648200753,43.68952941894531,20.562257766723633,47.06449806690216,0.10978062450885773,0.051667701452970505
4.8,1000,2.459703207015991,0.053045935928821564,17.0499267578125,2.820960521697998,4224.409710327656,48.097171783447266,23.466415405273438,48.789599537849426,0.10481801629066467,0.05114028975367546
4.9,1000,2.7245922088623047,0.05853358656167984,17.04967498779297,3.091381072998047,4411.869151621021,52.7070426940918,27.043094635009766,51.30831003189087,0.10075002163648605,0.051693134009838104
5,1000,2.9967005252838135,0.06251855939626694,17.04937744140625,3.374495506286621,4599.798947061389,57.53304672241211,30.114553451538086,52.34305262565613,0.09951004385948181,0.05208659544587135
5.1,1000,3.2790791988372803,0.06713753938674927,17.04884910583496,3.6871156692504883,4786.842821431813,62.861080169677734,33.65450668334961,53.53790521621704,0.09743358939886093,0.052163902670145035
5.2,1000,3.831005334854126,0.07315079867839813,17.048269271850586,4.037207126617432,4971.210281622507,68.827392578125,38.08113098144531,55.32844662666321,0.10060114413499832,0.05566105619072914
