Time (s),MGM - ESC throttle (μs),MGM - force Fz (thrust) (N),MGM - torque MZ (torque) (N⋅m),MGM - voltage (V),MGM - current (A),MGM - rotation speed (rpm),MGM - electrical power (W),MGM - mechanical power (W),MGM - motor & ESC efficiency (%),MGM - propeller efficiency (N/W),MGM - powertrain efficiency (N/W)
0,1116,0.050748464,-0.00180999,17.04584694,-0.026105162,709.7394913,-0.444984585,0.134525239,-30.23143709,-0.377241194,-0.114045441
0.1,1116,0.049639348,-0.001737288,17.04582787,-0.041575663,566.0178858,-0.708691597,0.102974705,-14.53025639,-0.482053816,-0.070043653
0.2,1116,0.050381828,-0.001693207,17.04584312,-0.033023659,422.2963167,-0.5629161,0.074878305,-13.30185831,-0.672849476,-0.089501485
0.3,1116,0.049638029,-0.001583501,17.04583168,-0.043037124,278.5747477,-0.733603597,0.046194319,-6.29690513,-1.074548364,-0.06766329
0.4,1116,0.049396295,-0.001560731,17.04582787,-0.037177488,134.8531422,-0.633721054,0.022040311,-3.477920219,-2.241179466,-0.077946432
0.5,1116,0.050454643,-0.001596588,17.04581261,-0.030513942,121.628366,-0.520134926,0.020335566,-3.909671307,-2.48110342,-0.097002983
0.6,1116,0.050333664,-0.001576902,17.0458374,-0.033323999,112.961712,-0.568035483,0.018653683,-3.283894062,-2.698323011,-0.088610068
0.7,1116,0.050855793,-0.001532541,17.04583931,-0.038217828,104.2950489,-0.651454926,0.016738035,-2.569331229,-3.038336992,-0.078064941
0.8,1116,0.050811194,-0.001512085,17.04582214,-0.040668216,95.62838574,-0.693223178,0.015142292,-2.184331417,-3.355581522,-0.073297024
0.9,1116,0.050834659,-0.001498287,17.04582214,-0.03688867,86.96172263,-0.62879771,0.013644319,-2.169905975,-3.725701571,-0.080844216
1,1116,0.051632684,-0.00151527,17.04581642,-0.039462879,78.29505951,-0.67267698,0.012423756,-1.846912503,-4.155964375,-0.076757021
1.1,1116,0.051203184,-0.00146292,17.04580116,-0.040756639,69.6283964,-0.694729567,0.010666831,-1.535393391,-4.800224304,-0.073702328
1.2,1116,0.051442679,-0.001465031,17.04583359,-0.032483511,60.96173329,-0.553708494,0.00935261,-1.689085551,-5,-0.0929057
1.3,1116,0.051906925,-0.00141257,17.04582596,-0.045452304,52.29507928,-0.774772048,0.007735695,-0.998447835,-5,-0.066996381
1.4,1116,0.051848374,-0.001403571,17.04582787,-0.040036947,43.62840706,-0.682462871,0.006412573,-0.939622242,-5,-0.075972445
1.5,1116,0.05103711,-0.001391352,17.04582024,-0.042531025,34.96174395,-0.724976182,0.005093997,-0.702643348,-5,-0.070398323
1.6,1116,0.050811537,-0.001373478,17.04580498,-0.040147543,26.29508994,-0.684347212,0.003782031,-0.55264798,-5,-0.074248187
1.7,1116,0.050112892,-0.001406247,17.04579353,-0.040046129,17.62842683,-0.682618082,0.002595995,-0.380299776,-5,-0.073412783
1.8,1116,0.049914308,-0.001382523,17.04583359,-0.037903845,8.961763713,-0.646102667,0.001297462,-0.200813566,-5,-0.077254459
1.9,1116,0.049766608,-0.001352583,17.04579926,-0.036633056,0.2951006,-0.624439716,4.18E-05,-0.006693792,-5,-0.079698019
2,1116,0.049781598,-0.001403697,17.04581451,-0.043677103,0,-0.744511783,0,0,0,-0.066864751
2.1,1116,0.049415324,-0.001385429,17.04579735,-0.04456871,0,-0.759709179,0,0,0,-0.065045051
2.2,1116,0.048833858,-0.001346747,17.04581451,-0.039618716,0,-0.675333261,0,0,0,-0.072310753
2.3,1116,0.049325496,-0.001286801,17.04583549,-0.040397797,0,-0.68861419,0,0,0,-0.07163009
2.4,1118,0.049159121,-0.001339671,17.04582596,-0.048216835,0,-0.821895778,0,0,0,-0.059811868
2.5,1124,0.049031742,-0.001322689,17.04582024,-0.056065433,0,-0.955681264,0,0,0,-0.051305536
2.6,1124,0.050039966,-0.001299419,17.04581642,-0.057746019,0,-0.984328032,0,0,0,-0.050836675
2.7,1126,0.049894728,-0.001297728,17.04582977,-0.030804778,0,-0.525093019,0,0,0,-0.095020749
2.8,1128,0.049304396,-0.001277085,17.0458374,-0.043979857,0,-0.749673486,0,0,0,-0.065767825
2.9,1128,0.050183058,-0.001288829,17.04581833,-0.031319171,0,-0.533860922,0,0,0,-0.09400025
3,1130,0.050001968,-0.001294546,17.04582214,-0.018100064,0,-0.30853048,0,0,0,-0.162064925
3.1,1130,0.049982585,-0.00127873,17.04581642,-0.019505167,0,-0.332481503,0,0,0,-0.150331929
3.2,1132,0.050899282,-0.001245479,17.04582405,-0.020689135,0,-0.352663368,0,0,0,-0.144328237
3.3,1132,0.050507478,-0.00125095,17.04582787,-0.016722951,0,-0.285056531,0,0,0,-0.177184075
3.4,1143,0.050712984,-0.001252659,17.04581833,-0.011748841,0,-0.200268611,0,0,0,-0.25322482
3.5,1151,0.050232325,-0.001284388,17.04574013,-0.015044456,116.9390495,-0.256443888,0.015728392,-6.133268028,-3.193735838,-0.195880368
3.6,1151,0.051436808,0.008991023,17.04009056,0.091522895,238.0378481,1.559558392,-0.2241216,-14.37083781,0.229504019,0.032981649
3.7,1155,0.05970503,0.01225932,17.03811646,0.162651449,359.1366286,2.771274328,-0.461057097,-16.6370064,0.129495963,0.021544252
3.8,1167,0.074872322,0.014359441,17.03485107,0.232812569,480.2354454,3.965927362,-0.722138226,-18.20855886,0.103681423,0.018878894
3.9,1167,0.100239068,0.020418899,17.02711296,0.38957864,680.4879221,6.633399487,-1.455061555,-21.93538249,0.068889916,0.015111267
4,1169,0.142137498,0.020119032,17.02246857,0.513520181,907.3857864,8.741380692,-1.911734939,-21.86994106,0.074350007,0.016260302
4.1,1169,0.175012499,0.017340159,17.02000427,0.595035076,1108.400986,10.12749958,-2.012697935,-19.87359226,0.086954184,0.017280919
