Time (s),Take sample,Powertrain 1 ESC throttle - target (μs)
0,,
1,,1400
2,,1400
3,,1400
4,,1400
5,,1400
6,,1400
7,,1400
8,,1400
9,,1400
10,,1398.04
11,,1382.352
12,,1372.55
13,,1349.02
14,,1329.412
15,,1313.726
16,,1307.844
17,,1307.844
18,,1315.686
19,,1327.45
20,,1331.372
21,,1337.254
22,,1343.138
23,,1339.216
24,,1345.098
25,,1350.98
26,,1350.98
27,,1343.138
28,,1315.686
29,,1311.764
30,,1303.922
31,,1303.922
32,,1301.96
33,,1300
34,,1317.648
35,,1325.49
36,,1327.45
37,,1333.334
38,,1339.216
39,,1354.902
40,,1354.902
41,,1350.98
42,,1349.02
43,,1343.138
44,,1331.372
45,,1323.53
46,,1317.648
47,,1315.686
48,,1309.804
49,,1303.922
50,,1300
51,,1292.156
52,,1278.432
53,,1278.432
54,,1282.352
55,,1282.352
56,,1288.236
57,,1298.04
58,,1303.922
59,,1305.882
60,,1303.922
61,,1309.804
62,,1321.568
63,,1335.294
64,,1337.254
65,,1343.138
66,,1343.138
67,,1343.138
68,,1339.216
69,,1333.334
70,,1331.372
71,,1327.45
72,,1327.45
73,,1327.45
74,,1331.372
75,,1335.294
76,,1331.372
77,,1335.294
78,,1333.334
79,,1327.45
80,,1315.686
81,,1313.726
82,,1307.844
83,,1315.686
84,,1315.686
85,,1323.53
86,,1321.568
87,,1319.608
88,,1309.804
89,,1303.922
90,,1298.04
91,,1298.04
92,,1301.96
93,,1315.686
94,,1319.608
95,,1321.568
96,,1311.764
97,,1305.882
98,,1301.96
99,,1290.196
100,,1274.51
101,,1258.824
102,,1245.098
103,,1229.412
104,,1213.726
105,,1203.922
106,,1200
107,,1200
108,,1200
109,,1200
110,,1200
111,,1209.804
112,,1250.98
113,,1282.352
114,,1315.686
115,,1337.254
116,,1341.176
117,,1339.216
118,,1331.372
119,,1325.49
120,,1313.726
121,,1305.882
122,,1364.706
123,,1313.726
124,,1305.882
125,,1296.078
126,,1288.236
127,,1296.078
128,,1298.04
129,,1296.078
130,,1301.96
131,,1309.804
132,,1313.726
133,,1309.804
134,,1321.568
135,,1292.156
136,,1317.648
137,,1325.49
138,,1305.882
139,,1301.96
140,,1298.04
141,,1307.844
142,,1307.844
143,,1303.922
144,,1313.726
145,,1290.196
146,,1317.648
147,,1317.648
148,,1323.53
149,,1329.412
150,,1309.804
151,,1301.96
152,,1301.96
153,,1309.804
154,,1292.156
155,,1313.726
156,,1337.254
157,,1356.862
158,,1356.862
159,,1356.862
160,,1368.628
161,,1368.628
162,,1382.352
163,,1325.49
164,,1303.922
165,,1307.844
166,,1311.764
167,,1276.47
168,,1237.254
169,,1200
170,,1200
171,,1200
172,,1200
173,,1200
174,,1233.334
175,,1274.51
176,,1296.078
177,,1301.96
178,,1286.274
179,,1303.922
180,,1319.608
181,,1331.372
182,,1333.334
183,,1333.334
184,,1339.216
185,,1327.45
186,,1356.862
187,,1400
188,,1400
189,,1396.078
190,,1392.156
191,,1400
192,,1400
193,,1400
194,,1376.47
195,,1343.138
196,,1350.98
197,,1349.02
198,,1382.352
199,,1398.04
200,,1400
201,,1400
202,,1400
203,,1347.058
204,,1319.608
205,,1329.412
206,,1364.706
207,,1364.706
208,,1362.746
209,,1364.706
210,,1362.746
211,,1364.706
212,,1364.706
213,,1364.706
214,,1360.784
215,,1360.784
216,,1360.784
217,,1360.784
218,,1362.746
219,,1362.746
220,,1360.784
221,,1360.784
222,,1360.784
223,,1362.746
224,,1360.784
225,,1360.784
226,,1360.784
227,,1360.784
228,,1360.784
229,,1362.746
230,,1362.746
231,,1360.784
232,,1362.746
233,,1362.746
234,,1362.746
235,,1362.746
236,,1362.746
237,,1362.746
238,,1360.784
239,,1362.746
240,,1360.784
241,,1360.784
242,,1360.784
243,,1360.784
244,,1360.784
245,,1360.784
246,,1335.294
247,,1335.294
248,,1335.294
249,,1335.294
250,,1335.294
251,,1335.294
252,,1331.372
253,,1331.372
254,,1331.372
255,,1331.372
256,,1331.372
257,,1331.372
258,,1331.372
259,,1331.372
260,,1331.372
261,,1331.372
262,,1331.372
263,,1333.334
264,,1331.372
265,,1331.372
266,,1311.764
267,,1311.764
268,,1311.764
269,,1311.764
270,,1311.764
271,,1337.254
272,,1329.412
273,,1329.412
274,,1329.412
275,,1329.412
276,,1329.412
277,,1329.412
278,,1329.412
279,,1329.412
280,,1331.372
281,,1329.412
282,,1329.412
283,,1329.412
284,,1329.412
285,,1329.412
286,,1329.412
287,,1329.412
288,,1329.412
289,,1329.412
290,,1329.412
291,,1329.412
292,,1329.412
293,,1329.412
294,,1329.412
295,,1329.412
296,,1329.412
297,,1329.412
298,,1329.412
299,,1329.412
300,,1329.412
301,,1329.412
302,,1329.412
303,,1329.412
304,,1329.412
305,,1329.412
306,,1329.412
307,,1329.412
308,,1327.45
309,,1329.412
310,,1329.412
311,,1329.412
312,,1329.412
313,,1329.412
314,,1329.412
315,,1329.412
316,,1329.412
317,,1329.412
318,,1329.412
319,,1329.412
320,,1329.412
321,,1329.412
322,,1329.412
323,,1329.412
324,,1329.412
325,,1329.412
326,,1329.412
327,,1329.412
328,,1329.412
329,,1329.412
330,,1329.412
331,,1329.412
332,,1329.412
333,,1329.412
334,,1329.412
335,,1329.412
336,,1329.412
337,,1329.412
338,,1329.412
339,,1329.412
340,,1329.412
341,,1329.412
342,,1329.412
343,,1329.412
344,,1329.412
345,,1329.412
346,,1329.412
347,,1329.412
348,,1329.412
349,,1329.412
350,,1329.412
351,,1329.412
352,,1329.412
353,,1329.412
354,,1329.412
355,,1331.372
356,,1329.412
357,,1329.412
358,,1329.412
359,,1329.412
360,,1329.412
361,,1329.412
362,,1329.412
363,,1329.412
364,,1329.412
365,,1329.412
366,,1329.412
367,,1329.412
368,,1329.412
369,,1329.412
370,,1329.412
371,,1329.412
372,,1329.412
373,,1329.412
374,,1329.412
375,,1329.412
376,,1329.412
377,,1327.45
378,,1329.412
379,,1329.412
380,,1329.412
381,,1329.412
382,,1329.412
383,,1329.412
384,,1329.412
385,,1327.45
386,,1313.726
387,,1313.726
388,,1313.726
389,,1313.726
390,,1313.726
391,,1313.726
392,,1313.726
393,,1313.726
394,,1313.726
395,,1313.726
396,,1313.726
397,,1313.726
398,,1313.726
399,,1313.726
400,,1313.726
401,,1313.726
402,,1313.726
403,,1313.726
404,,1313.726
405,,1335.294
406,,1335.294
407,,1335.294
408,,1335.294
409,,1335.294
410,,1335.294
411,,1335.294
412,,1335.294
413,,1335.294
414,,1335.294
415,,1335.294
416,,1335.294
417,,1335.294
418,,1335.294
419,,1335.294
420,,1335.294
421,,1335.294
422,,1335.294
423,,1335.294
424,,1333.334
425,,1335.294
426,,1335.294
427,,1335.294
428,,1335.294
429,,1335.294
430,,1335.294
431,,1335.294
432,,1335.294
433,,1335.294
434,,1335.294
435,,1335.294
436,,1335.294
437,,1335.294
438,,1335.294
439,,1335.294
440,,1335.294
441,,1333.334
442,,1335.294
443,,1335.294
444,,1335.294
445,,1335.294
446,,1335.294
447,,1335.294
448,,1335.294
449,,1335.294
450,,1335.294
451,,1335.294
452,,1335.294
453,,1335.294
454,,1335.294
455,,1335.294
456,,1335.294
457,,1335.294
458,,1335.294
459,,1335.294
460,,1335.294
461,,1335.294
462,,1335.294
463,,1333.334
464,,1335.294
465,,1335.294
466,,1335.294
467,,1335.294
468,,1333.334
469,,1335.294
470,,1335.294
471,,1311.764
472,,1200
473,,1200
474,,1200
475,,1200
476,,1200
477,,1200
478,,1200
479,,1200
480,,1200
481,,1200
482,,1200
483,,1200
484,,1200
485,,1200
486,,1200
487,,1200
488,,1200
489,,1200
490,,1200
491,,1200
492,,1200
493,,1200
494,,1200
495,,1200
496,,1200
497,,1200
498,,1200
499,,1200
500,,1200
501,,1223.53
502,,1258.824
503,,1296.078
504,,1303.922
505,,1303.922
506,,1296.078
507,,1280.392
508,,1274.51
509,,1272.55
510,,1272.55
511,,1274.51
512,,1284.314
513,,1296.078
514,,1300
515,,1305.882
516,,1303.922
517,,1300
518,,1294.118
519,,1288.236
520,,1290.196
521,,1301.96
522,,1305.882
523,,1307.844
524,,1307.844
525,,1317.648
526,,1315.686
527,,1282.352
528,,1250.98
529,,1227.45
530,,1200
531,,1200
532,,1200
533,,1200
534,,1200
535,,1200
536,,1200
537,,1200
538,,1200
539,,1200
540,,1200
541,,1400
542,,1400
543,,1400
544,,1400
545,,1400
546,,1200
547,,1200
548,,1241.176
549,,1296.078
550,,1339.216
551,,1360.784
552,,1362.746
553,,1352.942
554,,1333.334
555,,1327.45
556,,1327.45
557,,1327.45
558,,1325.49
559,,1331.372
560,,1339.216
561,,1335.294
562,,1341.176
563,,1333.334
564,,1339.216
565,,1339.216
566,,1339.216
567,,1347.058
568,,1352.942
569,,1350.98
570,,1358.824
571,,1366.666
572,,1368.628
573,,1364.706
574,,1352.942
575,,1343.138
576,,1343.138
577,,1333.334
578,,1331.372
579,,1339.216
580,,1341.176
581,,1343.138
582,,1349.02
583,,1356.862
584,,1352.942
585,,1352.942
586,,1352.942
587,,1352.942
588,,1350.98
589,,1349.02
590,,1343.138
591,,1343.138
592,,1339.216
593,,1341.176
594,,1345.098
595,,1341.176
596,,1345.098
597,,1315.686
598,,1288.236
599,,1280.392
600,,1276.47
601,,1282.352
602,,1284.314
603,,1288.236
604,,1292.156
605,,1290.196
606,,1300
607,,1301.96
608,,1309.804
609,,1313.726
610,,1317.648
611,,1325.49
612,,1331.372
613,,1327.45
614,,1331.372
615,,1333.334
616,,1337.254
617,,1331.372
618,,1335.294
619,,1333.334
620,,1325.49
621,,1311.764
622,,1303.922
623,,1288.236
624,,1276.47
625,,1288.236
626,,1294.118
627,,1301.96
628,,1286.274
629,,1249.02
630,,1207.844
631,,1200
632,,1200
633,,1200
634,,1200
635,,1200
636,,1200
637,,1400
638,,1400
639,,
