Time (s),Take sample,Powertrain 1 ESC throttle - target (μs),
0,x,,
0.1,x,2000,2000
0.2,x,2000,2000
0.3,x,2000,2000
0.4,x,2000,2000
0.5,x,2000,2000
0.6,x,2000,2000
0.7,x,2000,2000
0.8,x,2000,2000
0.9,x,2000,2000
1,x,1996.864,1996.864
1.1,x,1971.7632,1971.7632
1.2,x,1956.08,1956.08
1.3,x,1918.432,1918.432
1.4,x,1887.0592,1887.0592
1.5,x,1861.9616,1861.9616
1.6,x,1852.5504,1852.5504
1.7,x,1852.5504,1852.5504
1.8,x,1865.0976,1865.0976
1.9,x,1883.92,1883.92
2,x,1890.1952,1890.1952
2.1,x,1899.6064,1899.6064
2.2,x,1909.0208,1909.0208
2.3,x,1902.7456,1902.7456
2.4,x,1912.1568,1912.1568
2.5,x,1921.568,1921.568
2.6,x,1921.568,1921.568
2.7,x,1909.0208,1909.0208
2.8,x,1865.0976,1865.0976
2.9,x,1858.8224,1858.8224
3,x,1846.2752,1846.2752
3.1,x,1846.2752,1846.2752
3.2,x,1843.136,1843.136
3.3,x,1840,1840
3.4,x,1868.2368,1868.2368
3.5,x,1880.784,1880.784
3.6,x,1883.92,1883.92
3.7,x,1893.3344,1893.3344
3.8,x,1902.7456,1902.7456
3.9,x,1927.8432,1927.8432
4,x,1927.8432,1927.8432
4.1,x,1921.568,1921.568
4.2,x,1918.432,1918.432
4.3,x,1909.0208,1909.0208
4.4,x,1890.1952,1890.1952
4.5,x,1877.648,1877.648
4.6,x,1868.2368,1868.2368
4.7,x,1865.0976,1865.0976
4.8,x,1855.6864,1855.6864
4.9,x,1846.2752,1846.2752
5,x,1840,1840
5.1,x,1827.4496,1827.4496
5.2,x,1805.4912,1805.4912
5.3,x,1805.4912,1805.4912
5.4,x,1811.7632,1811.7632
5.5,x,1811.7632,1811.7632
5.6,x,1821.1776,1821.1776
5.7,x,1836.864,1836.864
5.8,x,1846.2752,1846.2752
5.9,x,1849.4112,1849.4112
6,x,1846.2752,1846.2752
6.1,x,1855.6864,1855.6864
6.2,x,1874.5088,1874.5088
6.3,x,1896.4704,1896.4704
6.4,x,1899.6064,1899.6064
6.5,x,1909.0208,1909.0208
6.6,x,1909.0208,1909.0208
6.7,x,1909.0208,1909.0208
6.8,x,1902.7456,1902.7456
6.9,x,1893.3344,1893.3344
7,x,1890.1952,1890.1952
7.1,x,1883.92,1883.92
7.2,x,1883.92,1883.92
7.3,x,1883.92,1883.92
7.4,x,1890.1952,1890.1952
7.5,x,1896.4704,1896.4704
7.6,x,1890.1952,1890.1952
7.7,x,1896.4704,1896.4704
7.8,x,1893.3344,1893.3344
7.9,x,1883.92,1883.92
8,x,1865.0976,1865.0976
8.1,x,1861.9616,1861.9616
8.2,x,1852.5504,1852.5504
8.3,x,1865.0976,1865.0976
8.4,x,1865.0976,1865.0976
8.5,x,1877.648,1877.648
8.6,x,1874.5088,1874.5088
8.7,x,1871.3728,1871.3728
8.8,x,1855.6864,1855.6864
8.9,x,1846.2752,1846.2752
9,x,1836.864,1836.864
9.1,x,1836.864,1836.864
9.2,x,1843.136,1843.136
9.3,x,1865.0976,1865.0976
9.4,x,1871.3728,1871.3728
9.5,x,1874.5088,1874.5088
9.6,x,1858.8224,1858.8224
9.7,x,1849.4112,1849.4112
9.8,x,1843.136,1843.136
9.9,x,1824.3136,1824.3136
10,x,1799.216,1799.216
10.1,x,1774.1184,1774.1184
10.2,x,1752.1568,1752.1568
10.3,x,1727.0592,1727.0592
10.4,x,1701.9616,1701.9616
10.5,x,1686.2752,1686.2752
10.6,x,1680,1680
10.7,x,1680,1680
10.8,x,1680,1680
10.9,x,1680,1680
11,x,1680,1680
11.1,x,1695.6864,1695.6864
11.2,x,1761.568,1761.568
11.3,x,1811.7632,1811.7632
11.4,x,1865.0976,1865.0976
11.5,x,1899.6064,1899.6064
11.6,x,1905.8816,1905.8816
11.7,x,1902.7456,1902.7456
11.8,x,1890.1952,1890.1952
11.9,x,1880.784,1880.784
12,x,1861.9616,1861.9616
12.1,x,1849.4112,1849.4112
12.2,x,1943.5296,1943.5296
12.3,x,1861.9616,1861.9616
12.4,x,1849.4112,1849.4112
12.5,x,1833.7248,1833.7248
12.6,x,1821.1776,1821.1776
12.7,x,1833.7248,1833.7248
12.8,x,1836.864,1836.864
12.9,x,1833.7248,1833.7248
13,x,1843.136,1843.136
13.1,x,1855.6864,1855.6864
13.2,x,1861.9616,1861.9616
13.3,x,1855.6864,1855.6864
13.4,x,1874.5088,1874.5088
13.5,x,1827.4496,1827.4496
13.6,x,1868.2368,1868.2368
13.7,x,1880.784,1880.784
13.8,x,1849.4112,1849.4112
13.9,x,1843.136,1843.136
14,x,1836.864,1836.864
14.1,x,1852.5504,1852.5504
14.2,x,1852.5504,1852.5504
14.3,x,1846.2752,1846.2752
14.4,x,1861.9616,1861.9616
14.5,x,1824.3136,1824.3136
14.6,x,1868.2368,1868.2368
14.7,x,1868.2368,1868.2368
14.8,x,1877.648,1877.648
14.9,x,1887.0592,1887.0592
15,x,1855.6864,1855.6864
15.1,x,1843.136,1843.136
15.2,x,1843.136,1843.136
15.3,x,1855.6864,1855.6864
15.4,x,1827.4496,1827.4496
15.5,x,1861.9616,1861.9616
15.6,x,1899.6064,1899.6064
15.7,x,1930.9792,1930.9792
15.8,x,1930.9792,1930.9792
15.9,x,1930.9792,1930.9792
16,x,1949.8048,1949.8048
16.1,x,1949.8048,1949.8048
16.2,x,1971.7632,1971.7632
16.3,x,1880.784,1880.784
16.4,x,1846.2752,1846.2752
16.5,x,1852.5504,1852.5504
16.6,x,1858.8224,1858.8224
16.7,x,1802.352,1802.352
16.8,x,1739.6064,1739.6064
16.9,x,1680,1680
17,x,1680,1680
17.1,x,1680,1680
17.2,x,1680,1680
17.3,x,1680,1680
17.4,x,1733.3344,1733.3344
17.5,x,1799.216,1799.216
17.6,x,1833.7248,1833.7248
17.7,x,1843.136,1843.136
17.8,x,1818.0384,1818.0384
17.9,x,1846.2752,1846.2752
18,x,1871.3728,1871.3728
18.1,x,1890.1952,1890.1952
18.2,x,1893.3344,1893.3344
18.3,x,1893.3344,1893.3344
18.4,x,1902.7456,1902.7456
18.5,x,1883.92,1883.92
18.6,x,1930.9792,1930.9792
18.7,x,2000,2000
18.8,x,2000,2000
18.9,x,1993.7248,1993.7248
19,x,1987.4496,1987.4496
19.1,x,2000,2000
19.2,x,2000,2000
19.3,x,2000,2000
19.4,x,1962.352,1962.352
19.5,x,1909.0208,1909.0208
19.6,x,1921.568,1921.568
19.7,x,1918.432,1918.432
19.8,x,1971.7632,1971.7632
19.9,x,1996.864,1996.864
20,x,2000,2000
20.1,x,2000,2000
20.2,x,2000,2000
20.3,x,1915.2928,1915.2928
20.4,x,1871.3728,1871.3728
20.5,x,1887.0592,1887.0592
20.6,x,1943.5296,1943.5296
20.7,x,1943.5296,1943.5296
20.8,x,1940.3936,1940.3936
20.9,x,1943.5296,1943.5296
21,x,1940.3936,1940.3936
21.1,x,1943.5296,1943.5296
21.2,x,1943.5296,1943.5296
21.3,x,1943.5296,1943.5296
21.4,x,1937.2544,1937.2544
21.5,x,1937.2544,1937.2544
21.6,x,1937.2544,1937.2544
21.7,x,1937.2544,1937.2544
21.8,x,1940.3936,1940.3936
21.9,x,1940.3936,1940.3936
22,x,1937.2544,1937.2544
22.1,x,1937.2544,1937.2544
22.2,x,1937.2544,1937.2544
22.3,x,1940.3936,1940.3936
22.4,x,1937.2544,1937.2544
22.5,x,1937.2544,1937.2544
22.6,x,1937.2544,1937.2544
22.7,x,1937.2544,1937.2544
22.8,x,1937.2544,1937.2544
22.9,x,1940.3936,1940.3936
23,x,1940.3936,1940.3936
23.1,x,1937.2544,1937.2544
23.2,x,1940.3936,1940.3936
23.3,x,1940.3936,1940.3936
23.4,x,1940.3936,1940.3936
23.5,x,1940.3936,1940.3936
23.6,x,1940.3936,1940.3936
23.7,x,1940.3936,1940.3936
23.8,x,1937.2544,1937.2544
23.9,x,1940.3936,1940.3936
24,x,1937.2544,1937.2544
24.1,x,1937.2544,1937.2544
24.2,x,1937.2544,1937.2544
24.3,x,1937.2544,1937.2544
24.4,x,1937.2544,1937.2544
24.5,x,1937.2544,1937.2544
24.6,x,1896.4704,1896.4704
24.7,x,1896.4704,1896.4704
24.8,x,1896.4704,1896.4704
24.9,x,1896.4704,1896.4704
25,x,1896.4704,1896.4704
25.1,x,1896.4704,1896.4704
