Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
0,x,2000
0.1,x,2000
0.2,x,2000
0.3,x,2000
0.4,x,2000
0.5,x,2000
0.6,x,2000
0.7,x,2000
0.8,x,2000
0.9,x,2000
1,x,2000
1.1,x,2000
1.2,x,2000
1.3,x,2000
1.4,x,2000
1.5,x,2000
1.6,x,2000
1.7,x,2000
1.8,x,2000
1.9,x,2000
2,x,2000
2.1,x,2000
2.2,x,2000
2.3,x,2000
2.4,x,2000
2.5,x,2000
2.6,x,2000
2.7,x,2000
2.8,x,2000
2.9,x,2000
3,x,2000
3.1,x,2000
3.2,x,2000
3.3,x,2000
3.4,x,2000
3.5,x,2000
3.6,x,2000
3.7,x,2000
3.8,x,2000
3.9,x,2000
4,x,2000
4.1,x,2000
4.2,x,2000
4.3,x,2000
4.4,x,2000
4.5,x,2000
4.6,x,2000
4.7,x,2000
4.8,x,2000
4.9,x,2000
5,x,2000
5.1,x,2000
5.2,x,2000
5.3,x,2000
5.4,x,2000
5.5,x,2000
5.6,x,2000
5.7,x,2000
5.8,x,2000
5.9,x,2000
6,x,2000
6.1,x,2000
6.2,x,2000
6.3,x,2000
6.4,x,2000
6.5,x,2000
6.6,x,2000
6.7,x,2000
6.8,x,2000
6.9,x,2000
7,x,2000
7.1,x,2000
7.2,x,2000
7.3,x,2000
7.4,x,2000
7.5,x,2000
7.6,x,2000
7.7,x,2000
7.8,x,2000
7.9,x,2000
8,x,2000
8.1,x,2000
8.2,x,1686.28
8.3,x,1725.5
8.4,x,1823.52
8.5,x,1901.96
8.6,x,1921.56
8.7,x,1941.18
8.8,x,1980.4
8.9,x,2000
9,x,2000
9.1,x,2000
9.2,x,2000
9.3,x,2000
9.4,x,2000
9.5,x,1980.4
9.6,x,1980.4
9.7,x,1980.4
9.8,x,1980.4
9.9,x,1980.4
10,x,1980.4
10.1,x,1980.4
10.2,x,1960.78
10.3,x,1960.78
10.4,x,1960.78
10.5,x,1941.18
10.6,x,1921.56
10.7,x,1901.96
10.8,x,1862.74
10.9,x,1843.14
11,x,1823.52
11.1,x,1803.92
11.2,x,1803.92
