Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,1000,0.0010528634302318096,-0.0003331428160890937,16.980924606323242,0.24867309629917145,0,4.222699165344238,0,0,0,0.0002493342326488346
0.1,1000,0.0017190449871122837,-0.00038927351124584675,16.980854034423828,0.22468364238739014,0,3.8153202533721924,0,0,0,0.0004505637625698
0.2,1000,0.002385226543992758,-0.00044540417729876935,16.980783462524414,0.20069417357444763,0,3.4079442024230957,0,0,0,0.0006999018369242549
0.3,1000,0.0030514078680425882,-0.000501534843351692,16.980712890625,0.17670471966266632,0,3.0005722045898438,0,0,0,0.0010169419692829251
0.4,1000,0.0037175894249230623,-0.000557665538508445,16.980642318725586,0.152715265750885,0,2.59320330619812,0,0,0,0.001433589612133801
0.5,1000,0.004383770748972893,-0.0006137961754575372,16.980571746826172,0.1287257969379425,0,2.185837745666504,0,0,0,0.0020055335480719805
0.6,1000,0.005049952305853367,-0.0006699268706142902,16.980501174926758,0.1047363430261612,0,1.7784756422042847,0,0,0,0.002839483553543687
0.7,1000,0.005716133862733841,-0.0007260575657710433,16.980432510375977,0.08074687421321869,0,1.3711168766021729,0,0,0,0.00416896166279912
0.8,1000,0.005247881170362234,-0.0005583405145443976,16.98065185546875,0.04767587035894394,0,0.8095673322677612,0,0,0,0.006482327822595835
0.9,1000,0.003228643676266074,-0.00035455243778415024,16.98082160949707,0.02857544831931591,0,0.4852345883846283,0,0,0,0.006653778720647097
1,1000,0.002034796867519617,-0.0001962568494491279,16.98092269897461,0.02630331739783287,0,0.4466545879840851,0,0,0,0.004555638413876295
1.1,1000,0.0011006976710632443,-0.00010753967944765463,16.981042861938477,0.018491510301828384,0,0.31400513648986816,0,0,0,0.0035053493920713663
1.2,1000,0.000716900103725493,-0.0000636311451671645,16.981124877929688,0.023386960849165916,0,0.3971368968486786,0,0,0,0.0018051712540909648
1.3,1000,0.0008808040292933583,-0.000032650157663738355,16.98113441467285,0.020104905590415,0,0.34140411019325256,0,0,0,0.002579945605248213
1.4,1000,0.00026718529989011586,-0.00003903492688550614,16.981136322021484,0.012048851698637009,0,0.2046031951904297,0,0,0,0.0013058705953881145
1.5,1000,0.00018395271035842597,-0.00002864906855393201,16.98113441467285,0.02144245058298111,0,0.3641171455383301,0,0,0,0.0005052020424045622
1.6,1000,-0.00045516935642808676,-0.000026540163162280805,16.981136322021484,0.015279557555913925,0,0.2594642639160156,0,0,0,-0.0017542662099003792
1.7,1000,-0.00048183088074438274,0.000025823510441114195,16.981103897094727,0.0019213733030483127,0,0.03262703865766525,0,0,0,-0.014767839573323727
1.8,1000,0.000052665633120341226,0.00003269828448537737,16.98112678527832,0.00287582166492939,0,0.04883469268679619,0,0,0,0.0010784470941871405
1.9,1000,0.0006261639064177871,0.000029207138140918687,16.981117248535156,-0.0005692123668268323,0,-0.00966586172580719,0,0,0,-0.06478097289800644
