Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
0,1000,0.00006101834151195362,0.00004632521086023189,16.964649200439453,0.00022946395620238036,0,0.0038927756249904633,0,0,0,0.015674764290452003
0.1,1000,0.0001505542459199205,0.00002410500565019902,16.964656829833984,-0.0011835581390187144,0,-0.02007865719497204,0,0,0,-0.00749822286888957
0.2,1000,0.0005703524220734835,0.000017374502931488678,16.96465301513672,-0.005493198521435261,0,-0.09319020807743073,0,0,0,-0.006120304111391306
0.3,1000,0.0009848643094301224,-0.00018389328033663332,16.96466064453125,-0.006029099225997925,0,-0.10228162258863449,0,0,0,-0.009628946892917156
0.4,1000,0.0010448917746543884,-0.00012227908882778138,16.96462631225586,-0.00435250997543335,0,-0.07383870333433151,0,0,0,-0.014151003211736679
0.5,1000,0.0003080152382608503,-0.00009610483539290726,16.96457290649414,0.0021138463634997606,0,0.03586050122976303,0,0,0,0.008589262142777443
0.6,1000,0.0001225009182235226,-0.000025876128347590566,16.964584350585938,-0.004186601843684912,0,-0.07102396339178085,0,0,0,-0.0017247829819098115
0.7,1000,-0.0006309089949354529,-0.0000602417640038766,16.964603424072266,0.003495751181617379,0,0.05930403247475624,0,0,0,-0.010638551786541939
0.8,1000,-0.00028332151123322546,-0.000015298619473469444,16.96462059020996,0.004311643540859222,0,0.07314539700746536,0,0,0,-0.0038734017871320248
0.9,1000,-0.0001863609068095684,0.000008330058335559443,16.96461296081543,0.018202535808086395,0,0.30879896879196167,0,0,0,-0.0006035023252479732
1,1250,-0.0004157486546318978,-0.0000396001196349971,16.964597702026367,0.01127640251070261,0,0.19129963219165802,0,0,0,-0.0021732852328568697
1.1,1250,0.00011684796481858939,-0.012997941114008427,16.922657012939453,0.7043539881706238,0,11.919541358947754,0,0,0,0.000009803059583646245
1.2,1250,-0.027547014877200127,-0.0649181604385376,16.71499252319336,5.356400489807129,434.2172735644592,89.53219604492188,-2.951901912689209,-3.2970283180475235,0.009331954643130302,-0.00030767719727009535
1.3,1250,-0.3019945025444031,-0.09159941226243973,16.77669334411621,5.036900997161865,1438.8590888450162,84.5025405883789,-13.801921844482422,-16.333143413066864,0.021880611777305603,-0.0035737918224185705
1.4,1250,-0.5777208209037781,-0.08043771982192993,16.81204605102539,4.3641252517700195,2318.2068575882677,73.369873046875,-19.527225494384766,-26.614773273468018,0.029585400596261024,-0.007874087430536747
1.5,1250,-0.7599031329154968,-0.06423844397068024,16.834461212158203,3.7659409046173096,2878.624789679703,63.397586822509766,-19.364606857299805,-30.54470717906952,0.03924185782670975,-0.011986310593783855
1.6,1250,-0.8653565645217896,-0.054334402084350586,16.844541549682617,3.4350414276123047,3193.2337211657045,57.861698150634766,-18.16913414001465,-31.400969624519348,0.04762784019112587,-0.014955602586269379
1.7,1250,-0.9097828269004822,-0.04823841154575348,16.85007095336914,3.2222304344177246,3363.3101670968467,54.2948112487793,-16.989810943603516,-31.29177689552307,0.05354873463511467,-0.016756350174546242
1.8,1250,-0.9301760196685791,-0.04576639086008072,16.851207733154297,3.1312382221221924,3457.971416263292,52.76514434814453,-16.572830200195312,-31.40867054462433,0.056126564741134644,-0.017628606408834457
1.9,1250,-0.9383959770202637,-0.043943412601947784,16.852983474731445,3.064373254776001,3511.767807550091,51.64383316040039,-16.160253524780273,-31.291741132736206,0.05806814506649971,-0.018170533701777458
2,1250,-0.9361193180084229,-0.04305517300963402,16.853649139404297,3.029797315597534,3540.6540800155844,51.063140869140625,-15.96384334564209,-31.262949109077454,0.058639973402023315,-0.01833258382976055
