Time (s),MGM - ESC throttle (μs),MGM - force Fz (thrust) (N),MGM - torque MZ (torque) (N⋅m),MGM - voltage (V),MGM - current (A),MGM - rotation speed (rpm),MGM - electrical power (W),MGM - mechanical power (W),MGM - motor & ESC efficiency (%),MGM - propeller efficiency (N/W),MGM - powertrain efficiency (N/W)
0,1000,0.001267774,0.000232761,16.97397232055664,0.010890432633459568,0,0.18485389649868011,0,0,0,0.006858251
0.1,1000,0.000946336,0.000134562,16.97374916,0.016694613,18.219500013522612,0.28337016701698303,0.000256736,0.090600899,3.6860299110412598,0.003339576
0.2,1000,0.001614095,9.71358E-05,16.97361946105957,-8.81785E-05,159.2591383865938,-0.001496709,0.00161999,-108.2368255,0.9963610768318176,-1.078429699
0.3,1000,0.001613397,5.13546E-05,16.973512649536133,-0.009197462,300.29879269677303,-0.156113237,0.00161496,-1.034480147,0.999031663,-0.010334784
0.4,1000,0.001832364,7.59921E-05,16.973508834838867,-0.000242414,441.33841057927674,-0.004114623,0.003512115,-85.35689712,0.5217268466949463,-0.445329845
0.5,1000,0.001858143,5.32254E-05,16.973514556884766,-0.008321072,582.3780649,-0.14123784,0.003246027,-2.298270352,0.5724359750747681,-0.013156126
0.6,1000,0.002240347,2.95976E-05,16.973514556884766,-0.005564141,723.4177191996353,-0.094443031,0.002242201,-2.374130487,0.999173105,-0.023721674
0.7,1000,0.000939757,4.34052E-05,16.973514556884766,-0.005087931,864.4573006544633,-0.086360067,0.003929288,-4.549889639,0.23916728794574738,-0.010881848
0.8,1000,0.000514563,5.85336E-05,16.973522186279297,0.002565294,1005.4969549646427,0.043542068,0.006163314,14.154848456382751,0.083488077,0.011817609891295433
0.9,1000,-0.000128335,5.99466E-05,16.97351646,0.001980796,1146.536682130173,0.033621069,0.007197496,21.40769362449646,-0.017830512,-0.003817101
1,1250,0.000313641,4.10657E-05,16.97351837158203,-0.005024398,1287.5762635850012,-0.085281715,0.00553708,-6.492693722,0.056643799,-0.003677708
1.1,1250,-0.000596394,-0.012105689,16.96577262878418,0.3001924455165863,1428.6159178951805,5.092996597290039,-1.81106329,-35.55987477,0.000329306,-0.000117101
1.2,1250,-0.013118007,0.036209743,16.907438278198242,5.63932991,1569.6554264946574,95.34661865234375,5.951937675476074,6.242421269416809,-0.002203989,-0.000137582
1.3,1250,0.3328661322593689,0.092467934,16.967832565307617,5.722533226013184,1906.4257901138976,97.09898376464844,18.460338592529297,19.011875987052917,0.018031420186161995,0.003428111
1.4,1250,0.8569361567497253,0.084256366,16.984771728515625,4.776944637298584,2557.1077137979623,81.13531494140625,22.562143325805664,27.808043360710144,0.037981148809194565,0.010561814531683922
1.5,1250,1.2777197360992432,0.064566642,16.986135482788086,3.928881883621216,3047.5419612633973,66.73651885986328,20.60565948486328,30.87613582611084,0.062008194625377655,0.019145735
1.6,1250,1.530477523803711,0.051677056,16.98255729675293,3.4191763401031494,3337.655175165416,58.06635665893555,18.062084197998047,31.10593557357788,0.084734276,0.026357388123869896
1.7,1250,1.6731631755828857,0.044104937463998795,16.979537963867188,3.143500804901123,3499.4412649788615,53.37519073486328,16.162723541259766,30.281341075897217,0.10351987928152084,0.031347207725048065
1.8,1250,1.7502193450927734,0.039746683,16.97759246826172,2.9745285511016846,3586.407531957181,50.50033187866211,14.927571296691895,29.55935001373291,0.11724743247032166,0.034657579
1.9,1250,1.786897897720337,0.037310887,16.976438522338867,2.8893589973449707,3631.6247685143376,49.05102539,14.189436912536621,28.927910327911377,0.12593156099319458,0.036429368
2,1250,1.8066856861114502,0.036130741238594055,16.97502326965332,2.8441836833953857,3655.8666580549248,48.28008270263672,13.832345962524414,28.650209307670593,0.13061310350894928,0.037420932203531265
2.1,1250,1.8190765380859375,0.035686437,16.974267959594727,2.809749126434326,3670.0061331840916,47.69343566894531,13.71508789,28.75676453113556,0.132633239,0.038141027092933655
2.2,1250,1.8305906057357788,0.035198566,16.973920822143555,2.7949881553649902,3677.349952579689,47.44190598,13.554656982421875,28.57106328010559,0.13505251705646515,0.038585939
2.3,1250,1.844319224357605,0.034941908,16.973773956298828,2.789477586746216,3680.748217578581,47.34796142578125,13.468255043029785,28.445270657539368,0.13693824410438538,0.038952451
2.4,1250,1.8523880243301392,0.034762532,16.973623275756836,2.783193349838257,3679.2628426793995,47.240875244140625,13.393708229064941,28.35194766521454,0.13830284774303436,0.039211553
2.5,1250,1.8609650135040283,0.034739133,16.973621368408203,2.7918219566345215,3679.7917725287252,47.3873291,13.386616706848145,28.249359130859375,0.13901682198047638,0.039271362125873566
2.6,1250,1.8621389865875244,0.034681801,16.97360610961914,2.8010520935058594,3680.1467237995125,47.54395676,13.365813255310059,28.112539649009705,0.13932104408740997,0.039166681468486786
2.7,1250,1.8639253377914429,0.035088673,16.973377227783203,2.8126275539398193,3681.8334708892635,47.73978805541992,13.528813362121582,28.338652849197388,0.1377744823694229,0.039043434
2.8,1250,1.867539405822754,0.03469938,16.973674774169922,2.792646884918213,3684.731073915074,47.40148162841797,13.389245986938477,28.246474266052246,0.13948054611682892,0.039398335
2.9,1250,1.8682780265808105,0.035069931,16.973936080932617,2.8156566619873047,3685.1711202360007,47.79277801513672,13.533844947814941,28.317761421203613,0.13804487884044647,0.039091222
3,1250,1.8739392757415771,0.034767956,16.974733352661133,2.8036015033721924,3687.240212,47.590389251708984,13.424842834472656,28.209146857261658,0.1395874321460724,0.039376423
3.1,1250,1.8731536865234375,0.034804049879312515,16.97495460510254,2.814131736755371,3686.0025455032883,47.76976013183594,13.434268951416016,28.122958540916443,0.13943101465702057,0.039212122559547424
3.2,1250,1.870322823524475,0.034666817635297775,16.975011825561523,2.8147218227386475,3683.051612360438,47.779937744140625,13.370584487915039,27.983680367469788,0.1398833990097046,0.039144523441791534
3.3,1250,1.8634330034255981,0.035015099,16.974878311157227,2.8192684650421143,3682.402325471018,47.85673904418945,13.502532005310059,28.214484453201294,0.13800619542598724,0.038937736
3.4,1250,1.8547579050064087,0.034966710954904556,16.975032806396484,2.8203132152557373,3684.562923764627,47.874908447265625,13.49178409576416,28.181326389312744,0.13747313618659973,0.038741753
3.5,1250,1.8482906818389893,0.034693092,16.975181579589844,2.817150354385376,3684.3635915238897,47.82164001464844,13.38548469543457,27.990436553955078,0.13808171451091766,0.038649671
3.6,1250,1.8482246398925781,0.035441216081380844,16.97492027282715,2.8446435928344727,3687.6167286632967,48.28759766,13.686203956604004,28.34310233592987,0.13504289090633392,0.038275349885225296
3.7,1250,1.851914882659912,0.034959637,16.975173950195312,2.822936773300171,3688.7829971244546,47.91984176635742,13.504504203796387,28.181445598602295,0.1371331363916397,0.038646098
3.8,1250,1.8551348447799683,0.034588102251291275,16.975339889526367,2.7982940673828125,3688.601441589397,47.501991271972656,13.360326766967773,28.12582254,0.1388539969921112,0.039053831
3.9,1250,1.854632019996643,0.034898788,16.97503662109375,2.7926905155181885,3686.546337844248,47.40602493286133,13.472825050354004,28.420069813728333,0.1376572549343109,0.039122287184000015
4,1250,1.8502206802368164,0.034851294,16.97506332397461,2.796895980834961,3687.4835490814003,47.47748565673828,13.45790958404541,28.345876932144165,0.13748201727867126,0.038970485
4.1,1250,1.8447887897491455,0.034325272,16.975257873535156,2.7899606227874756,3686.557411857622,47.36030197143555,13.251456260681152,27.98009216785431,0.13921403884887695,0.03895222
4.2,1250,1.8419392108917236,0.03445233,16.974613189697266,2.800349473953247,3683.882746206321,47.534847259521484,13.290858268737793,27.960240840911865,0.13858692348003387,0.03874924
4.3,1250,1.8471320867538452,0.034899186342954636,16.97395896911621,2.8131020069122314,3684.260428346666,47.74947738647461,13.464624404907227,28.198474645614624,0.13718408346176147,0.038683817
4.4,1250,1.8531187772750854,0.034760843962430954,16.97382164001465,2.8077805042266846,3683.3908268753776,47.65876388549805,13.40808391571045,28.133511543273926,0.13820905983448029,0.038883063942193985
4.5,1250,1.8588707447052002,0.035123654,16.97345733642578,2.8199753761291504,3685.1425609383514,47.86473083496094,13.554471969604492,28.318285942077637,0.13714078068733215,0.038835917
4.6,1250,1.7503020763397217,0.010838523507118225,16.988182067871094,1.8187990188598633,3573.3396133326814,30.898088455200195,4.055767536,13.126271963119507,0.4315587878227234,0.056647584
4.7,1250,1.4011880159378052,-0.009387463,16.98539924621582,0.9770598411560059,3180.0451540797058,16.59575080871582,-3.126152515,-18.8370645,-0.448214859,0.084430523
4.8,1250,1.1678205728530884,0.029599644243717194,16.958972930908203,1.9986708164215088,2924.3138374908863,33.89540481567383,9.064400672912598,26.742270588874817,0.12883594632148743,0.034453656524419785
4.9,1250,1.3604447841644287,0.046316884,16.964298248291016,2.7088348865509033,3145.4030174522104,45.95348358154297,15.256125450134277,33.19906294345856,0.089173675,0.029604824259877205
5,1250,1.5611704587936401,0.043238048,16.97120475769043,2.806347131729126,3369.6558681817332,47.62709045410156,15.257390022277832,32.03510642051697,0.10232225060462952,0.032779041677713394
5.1,1250,1.6855061054229736,0.040120817720890045,16.973024368286133,2.8189380168914795,3510.4033725338136,47.84590530395508,14.748757362365723,30.82553744316101,0.11428122967481613,0.035227805376052856
5.2,1250,1.757306456565857,0.037555486,16.973468780517578,2.8107845783233643,3590.412244899019,47.708763122558594,14.120377540588379,29.597032070159912,0.12445180118083954,0.036834039
