Time (s),MGM ESC throttle (μs),MGM force Fz (thrust) (N),MGM torque MZ (torque) (N⋅m),MGM voltage (V),MGM current (A),MGM rotation speed (rpm),MGM electrical power (W),MGM mechanical power (W),MGM motor & ESC efficiency (%),MGM propeller efficiency (N/W),MGM powertrain efficiency (N/W)
0,1000,0.000984601,0.00022224,16.956132888793945,-0.017494509,0,-0.296639234,0,0,0,-0.003319185
0.1,1000,0.000654925,0.000129435,16.956106185913086,-0.01277147,0,-0.216554388,0,0,0,-0.003024299
0.2,1000,0.000243738,0.000178715,16.956111907958984,-0.012874471,0,-0.218300968,0,0,0,-0.001116521
0.3,1000,0.000209749,0.000121756,16.95612335205078,-0.021617938,0,-0.366556406,0,0,0,-0.000572214
0.4,1000,0.000344163,0.00012586,16.95612335205078,-0.020655418,0,-0.35023582,0,0,0,-0.00098266
0.5,1000,0.000340153,0.000118786,16.95612907409668,-0.013810315,0,-0.234169483,0,0,0,-0.001452595
0.6,1000,-0.000221054,5.36609E-05,16.95612144470215,-0.021687679,0,-0.367738932,0,0,0,0.000601118
0.7,1000,0.000158683,2.14468E-05,16.956117630004883,-0.011104877,0,-0.188295603,0,0,0,-0.000842732
0.8,1000,-0.000433374,2.40752E-05,16.956119537353516,-0.017115178,0,-0.290206999,0,0,0,0.001493328
0.9,1000,-0.000509789,1.63647E-05,16.956132888793945,-0.018701134,0,-0.317098916,0,0,0,0.001607665
1,1000,-0.000846575,0.00011214,16.95611572265625,-0.013076931,0,-0.221733958,0,0,0,0.003817975
1.1,1000,-0.000111708,4.5536E-05,16.956117630004883,-0.004448938,0,-0.075436719,0,0,0,0.001480817
1.2,1000,0.000326272,5.21096E-05,16.95613670349121,-0.023723992,0,-0.402267247,0,0,0,-0.000811083
1.3,1000,-0.00029589,4.15552E-05,16.956127166748047,-0.025200311,0,-0.427299678,0,0,0,0.000692464
1.4,1000,-1.65646E-05,0.000121227,16.95614242553711,-0.028762352,0,-0.487698525,0,0,0,3.39648E-05
1.5,1000,0.000711931,7.58844E-05,16.95615005493164,-0.028980233,0,-0.491393179,0,0,0,-0.001448802
1.6,1000,0.001435501,7.37421E-05,16.95612907409668,-0.027881037,0,-0.472754478,0,0,0,-0.003036463
1.7,1000,0.002000459,6.75574E-05,16.95612907409668,-0.03263475,0,-0.553359032,0,0,0,-0.003615119
1.8,1000,0.001320783,7.60367E-05,16.956125259399414,-0.012822307,0,-0.217416644,0,0,0,-0.006074894
