Time (s),Powertrain 1 ESC throttle - target (μs)
0.45,1400.0
1.45,1400.0
2.45,1400.0
3.45,1400.0
4.45,1400.0
5.45,1400.0
6.45,1400.0
7.45,1400.0
8.45,1389.8039999999999
9.45,1399.02
10.45,1393.1372
11.45,1377.2549999999999
12.45,1364.3142
13.45,1340.5882
14.45,1321.7652
15.45,1310.0002
16.45,1307.844
17.45,1311.7648000000002
18.45,1319.4119999999998
19.45,1330.3918
20.45,1333.725
21.45,1341.9612
22.45,1341.1763999999998
23.45,1339.8039999999999
24.45,1350.3922
25.45,1353.5298
26.45,1347.4506
27.45,1331.3726000000001
28.45,1316.0786
29.45,1307.451
30.45,1304.51
31.45,1303.3334
32.45,1300.98
33.45,1309.2158
34.45,1321.3726
35.45,1328.0388
36.45,1329.9998
37.45,1333.922
38.45,1347.6471999999999
39.45,1354.902
40.45,1353.922
41.45,1349.4119999999998
42.45,1347.2544
43.45,1338.039
44.45,1326.2746
45.45,1322.7451999999998
46.45,1316.4707999999998
47.45,1314.1178
48.45,1305.0984
49.45,1302.1568
50.45,1294.9016
51.45,1287.451
52.45,1280.5880000000002
53.45,1282.1568000000002
54.45,1283.333
55.45,1286.2746000000002
56.45,1291.7648
57.45,1297.647
58.45,1306.0786
59.45,1303.3332
60.45,1305.8822
61.45,1314.9018
62.45,1328.0392
63.45,1336.666
64.45,1339.4116
65.45,1341.7646
66.45,1345.2939999999999
67.45,1340.1961999999999
68.45,1336.8629999999998
69.45,1330.1961999999999
70.45,1329.6076
71.45,1328.2348
72.45,1325.882
73.45,1327.8424
74.45,1332.1568000000002
75.45,1332.7452
76.45,1333.3336000000002
77.45,1334.7060000000001
78.45,1329.8042
79.45,1320.9802
80.45,1315.49
81.45,1309.6082000000001
82.45,1310.1961999999999
83.45,1315.686
84.45,1319.8039999999999
85.45,1324.51
86.45,1321.568
87.45,1314.902
88.45,1307.059
89.45,1299.8042
90.45,1297.059
91.45,1298.236
92.45,1307.451
93.45,1317.059
94.45,1321.3719999999998
95.45,1318.0394000000001
96.45,1308.8234
97.45,1303.333
98.45,1298.0387999999998
99.45,1280.9802
100.45,1266.2748
101.45,1251.3724
102.45,1239.0196
103.45,1222.3529999999998
104.45,1210.3922
105.45,1200.5882
106.45,1200.0
107.45,1200.0
108.45,1200.0
109.45,1200.0
110.45,1200.196
111.45,1227.451
112.45,1264.902
113.45,1299.0198
114.45,1327.2549999999999
115.45,1339.4116
116.45,1341.176
117.45,1335.2944
118.45,1329.2152
119.45,1321.5688
120.45,1310.5884
121.45,1332.7448
122.45,1335.6861999999999
123.45,1313.3334
124.45,1307.0585999999998
125.45,1286.0782
126.45,1296.0783999999999
127.45,1291.7644
128.45,1302.549
129.45,1292.549
130.45,1305.4902
131.45,1314.5102
132.45,1306.6666
133.45,1318.2350000000001
134.45,1310.9804
135.45,1303.5296
136.45,1320.7842
137.45,1316.2748
138.45,1302.1568
139.45,1304.3134
140.45,1298.8236000000002
141.45,1308.2356
142.45,1304.9022
143.45,1310.196
144.45,1304.1176
145.45,1301.7649999999999
146.45,1319.608
147.45,1320.7846
148.45,1324.9022
149.45,1310.9802
150.45,1308.2348
151.45,1308.8234
152.45,1302.941
153.45,1302.5488
154.45,1298.2351999999998
155.45,1325.8824
156.45,1343.5294
157.45,1358.8234
158.45,1353.7254
159.45,1368.0392
160.45,1368.8236
161.45,1379.2158
162.45,1350.9804
163.45,1314.5098
164.45,1315.2944
165.45,1310.7844
166.45,1301.5682000000002
167.45,1257.6474
168.45,1217.843
169.45,1200.0
170.45,1200.0
171.45,1200.0
172.45,1200.0
173.45,1205.4902
174.45,1255.2941999999998
175.45,1283.5294
176.45,1301.7646
177.45,1305.882
178.45,1291.5688
179.45,1315.2944
180.45,1317.2548000000002
181.45,1319.0196
182.45,1330.1958
183.45,1337.8432
184.45,1322.5492
185.45,1345.6861999999999
186.45,1381.9608
187.45,1400.0
188.45,1396.4702
189.45,1393.7256
190.45,1398.6273999999999
191.45,1400.0
192.45,1400.0
193.45,1397.8432
194.45,1356.0782
195.45,1344.706
196.45,1365.2941999999998
197.45,1360.0002
198.45,1393.5296
199.45,1399.608
200.45,1400.0
201.45,1400.0
202.45,1376.8629999999998
203.45,1330.3922
204.45,1321.1770000000001
205.45,1358.0396
206.45,1363.922
207.45,1363.726
208.45,1363.726
209.45,1363.726
210.45,1363.922
211.45,1364.118
212.45,1363.53
213.45,1362.157
214.45,1361.3726000000001
215.45,1360.784
216.45,1360.9802000000002
217.45,1361.765
218.45,1362.3536
219.45,1361.9612000000002
220.45,1361.5688000000002
221.45,1361.765
222.45,1361.5688000000002
223.45,1361.9612000000002
224.45,1361.3726000000001
225.45,1361.765
226.45,1361.3726000000001
227.45,1361.5688000000002
228.45,1361.9612000000002
229.45,1362.1574
230.45,1361.5688000000002
231.45,1361.9612000000002
232.45,1362.1574
233.45,1362.3536
234.45,1362.5498000000002
235.45,1362.3536
236.45,1362.5498000000002
237.45,1362.1574
238.45,1361.5688000000002
239.45,1361.9612000000002
240.45,1361.5688000000002
241.45,1361.5688000000002
242.45,1361.765
243.45,1361.765
244.45,1362.1574
245.45,1353.3334
246.45,1335.294
247.45,1335.294
248.45,1335.294
249.45,1335.294
250.45,1335.294
251.45,1335.0980000000002
252.45,1331.372
253.45,1331.7644
254.45,1331.372
255.45,1331.372
256.45,1331.5684
257.45,1331.372
